#,kod_kraju,sum
1,ZZ,113725.72
2,IE,49456.04
3,PL,44687.74
4,US,5513
5,DK,4750
6,PT,3450
7,NO,2300
8,SE,2050
9,DE,2000
10,GB,1450
11,FI,800
12,JP,700
13,ES,650
14,IT,475
15,CH,400
16,BG,300
17,TR,250
18,ie,125
