#,id,data_utworzenia,typ_wniosku,powod_operatora,opoznienie,nr_referencyjny,jezyk,kanal,partner,kod_kraju,stan_wniosku,typ_podrozy,zrodlo_polecenia,kwota_rekompensaty_oryginalna,kwota_rekompensaty,liczba_pasazerow,oplata_za_usluge_procent,oplata_za_usluge_prawnicza_procent,roznica_kwot_oryg_reko
38,2002054,2016-02-12 11:08:47.683101,opozniony,strajk,> 3h,423236C9,en,bezposredni,,BG,wyplacony,,,600.00,300.00,1,25,25,300
39,2002040,2016-02-12 10:15:27.454884,opozniony,brak powodu,> 3h,897C8FDE,en,bezposredni,,PL,wyplacony,,,300.00,150.00,1,25,25,150
40,2002067,2016-02-12 11:27:25.323786,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,75.00,1,25,25,175
41,2002055,2016-02-12 11:10:33.147605,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,600.00,150.00,1,25,25,450
42,2002139,2016-02-14 23:02:47.668254,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,400.00,1,25,25,200
43,2002056,2016-02-12 11:12:30.614178,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,600.00,350.25,1,25,25,249.75
44,2002154,2016-02-15 08:24:12.663456,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,300.00,120.00,1,25,25,180
45,2002161,2016-02-15 10:06:29.656225,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,300.00,125.00,1,25,25,175
46,2002187,2016-02-15 13:08:56.985480,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,1,25,25,125
47,2002186,2016-02-15 13:08:40.839972,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400
48,2002188,2016-02-15 13:43:03.977161,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,300.25,1,25,25,299.75
49,2002184,2016-02-15 13:08:22.020360,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,210.00,1,25,25,390
50,2002182,2016-02-15 13:08:03.829516,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,1,25,25,125
51,2002257,2016-02-15 23:03:54.642241,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,10.00,1,25,25,240
52,2002258,2016-02-16 07:13:21.238009,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,124.00,1,25,25,126
53,2002270,2016-02-16 07:25:13.139286,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400
54,2002267,2016-02-16 07:15:08.508191,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400
55,2002264,2016-02-16 07:14:47.448966,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400
56,2002262,2016-02-16 07:14:22.751864,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,200.00,2,25,25,300
57,2002271,2016-02-16 08:03:02.333621,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,124.00,1,25,25,126
58,2002422,2016-02-17 13:05:06.438076,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150
59,2002447,2016-02-17 13:44:53.600684,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150
60,2003510,2016-03-14 08:02:54.065576,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,50.00,1,25,25,200
61,2003506,2016-03-13 23:07:28.695437,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,100.00,1,25,25,150
62,2003718,2016-03-17 10:30:51.240198,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,750.00,200.00,3,25,25,550
63,2004033,2016-03-24 11:53:38.852007,opozniony,brak powodu,nie dotarlem na miejsce,3859D323,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400
64,2002545,2016-02-18 12:27:46.143893,opozniony,brak powodu,> 3h,F4055F08,en,bezposredni,,PL,wyplacony,,,1200.00,1000.00,2,25,25,200
65,2004360,2016-04-05 22:02:01.256167,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
66,2004374,2016-04-06 06:54:00.439026,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
67,2005089,2016-04-28 10:11:36.998643,opozniony,brak powodu,nie dotarlem na miejsce,004942B8,en,bezposredni,,PL,wyplacony,,,3000.00,600.00,5,25,25,2400
68,2005091,2016-04-28 10:22:56.539112,opozniony,brak powodu,nie dotarlem na miejsce,004942B8,en,bezposredni,,PL,wyplacony,,,3000.00,2400.00,5,25,25,600
69,2005110,2016-04-28 22:06:55.367619,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
70,2005112,2016-04-29 07:03:03.963021,anulowany,pogoda,> 4h,74BE1697,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
71,2005111,2016-04-29 06:53:10.283609,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
72,2005109,2016-04-28 22:05:28.995010,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,750.00,450.00,3,25,25,300
73,2005115,2016-04-29 07:21:06.653199,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,750.00,300.00,3,25,25,450
74,2005116,2016-04-29 07:39:30.817481,anulowany,pogoda,> 4h,74BE1697,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
75,2005105,2016-04-28 22:04:15.782149,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,2,25,25,125
76,2005119,2016-04-29 08:33:46.420938,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,2,25,25,125
77,2006052,2016-05-17 22:14:40.962475,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
78,2006345,2016-05-23 07:42:00.683962,opozniony,brak powodu,> 3h,28A4CCEC,en,bezposredni,,GB,wyplacony,,,1200.00,600.00,2,25,25,600
79,29393,2014-12-29 15:17:48.556755,opozniony,brak powodu,> 3h,28A4CCEC,en,bezposredni,,GB,wyplacony,,,1200.00,600.00,2,25,25,600
80,2004805,2016-04-20 07:22:38.931009,przepelniony,brak powodu,> 3h,9DC94883,en,bezposredni,,PL,wyplacony,biznesowy,przyjaciele,1200.00,600.00,2,25,25,600
81,2006466,2016-05-25 07:16:15.409648,opozniony,brak powodu,nie dotarlem na miejsce,DD71B83A,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400
82,2006467,2016-05-25 07:18:36.789775,opozniony,brak powodu,nie dotarlem na miejsce,DD71B83A,en,bezposredni,,PL,wyplacony,,,600.00,400.00,1,25,25,200
83,2011016,2016-08-22 11:12:39.582764,anulowany,strajk,nie dotarlem na miejsce,B6584E0C,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400
84,2011097,2016-08-23 09:16:53.115884,opozniony,brak powodu,nie dotarlem na miejsce,C47385E6,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
85,2011152,2016-08-23 12:30:37.028415,opozniony,brak powodu,> 3h,D0578F2F,en,bezposredni,,PL,wyplacony,,,600.00,400.00,1,25,25,200
86,2010652,2016-08-16 09:27:32.687958,opozniony,brak powodu,nie dotarlem na miejsce,73DC8ABC,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
87,2000948,2016-01-21 09:19:01.308205,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,50.00,1,25,25,200
88,2009990,2016-08-03 22:03:57.337611,opozniony,pogoda,nie dotarlem na miejsce,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,100.00,1,25,25,150
89,2008526,2016-07-06 22:06:33.712368,anulowany,pogoda,> 4h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
90,2010053,2016-08-04 12:18:19.805614,przepelniony,brak powodu,> 3h,8025D068,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
91,2010052,2016-08-04 12:05:42.173028,przepelniony,brak powodu,> 3h,8025D068,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
92,2012360,2016-09-09 09:19:29.969960,opozniony,brak powodu,nie dotarlem na miejsce,66805C9F,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
93,2007872,2016-06-28 14:00:11.624584,opozniony,brak powodu,> 3h,18A5800C,en,bezposredni,,PL,wyplacony,prywatny,przyjaciele,600.00,0.00,1,25,25,600
94,2037161,2016-10-05 13:46:17.984310,opozniony,pogoda,> 3h,7E2AA444,en,bezposredni,,PL,wyplacony,,,2250.00,1500.00,9,25,25,750
95,2037165,2016-10-05 14:31:26.656529,opozniony,brak powodu,> 3h,C3A29098,en,bezposredni,,PL,wyplacony,,,500.00,1.00,2,25,25,499
96,2037263,2016-10-06 10:13:50.718160,opozniony,strajk,> 3h,7E5BF543,en,bezposredni,,PL,wyplacony,,,300.00,1.00,1,25,25,299
97,2013797,2016-09-23 11:43:44.454250,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
98,2104784,2017-08-25 08:13:40.570951,opozniony,pogoda,> 4h,7D2E885D,en,bezposredni,,ZZ,wyplacony,,,1200.00,500.00,2,25,25,700
99,2097203,2017-07-31 13:16:08.678603,opozniony,pogoda,> 3h,E1FE73E6,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
100,2097146,2017-07-31 13:07:29.299105,opozniony,pogoda,> 3h,F7C1F971,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
101,2054735,2017-02-17 05:57:15.981561,opozniony,pogoda,> 3h,76A392AF,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
102,2097269,2017-07-31 13:59:44.948392,opozniony,pogoda,> 3h,664D6E51,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
103,2097417,2017-08-01 07:07:07.618754,opozniony,pogoda,> 4h,8561B845,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150
104,2097415,2017-08-01 07:07:00.033449,opozniony,pogoda,> 4h,0E6593EC,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150
105,2101190,2017-08-11 06:46:43.251440,opozniony,brak powodu,> 3h,1B0DF4DF,en,bezposredni,,PL,wyplacony,,,1800.00,600.00,3,25,25,1200
106,2104793,2017-08-25 08:49:31.821088,opozniony,pogoda,> 3h,D6529781,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
107,2101170,2017-08-11 05:11:48.158518,opozniony,pogoda,> 3h,06E8CE73,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
108,2004032,2016-03-24 10:15:32.520871,opozniony,brak powodu,nie dotarlem na miejsce,3859D323,en,bezposredni,,PL,wyplacony,,,600.00,400.00,1,25,25,200
109,2097438,2017-08-01 07:30:24.835455,opozniony,pogoda,> 3h,8717F0E7,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
110,2110658,2017-09-14 09:37:20.063281,opozniony,pogoda,> 3h,D49A0BB9,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
111,2053648,2017-02-10 08:05:49.406015,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
112,2053792,2017-02-10 11:44:35.074529,opozniony,pogoda,> 3h,030C2E7A,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
113,2094058,2017-07-24 08:05:50.115130,opozniony,pogoda,> 3h,600D3628,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
114,2092124,2017-07-18 10:23:19.475003,opozniony,pogoda,> 3h,5526216B,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
115,2050739,2017-01-25 12:04:32.126799,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
116,2094083,2017-07-24 08:42:00.363737,opozniony,pogoda,> 3h,1AF97F7D,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
117,2092231,2017-07-18 11:55:41.072143,opozniony,pogoda,> 3h,D89A27E5,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
118,2092264,2017-07-18 12:44:52.490492,opozniony,pogoda,> 3h,B2C9F012,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
119,2050852,2017-01-25 13:31:38.975141,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
120,2054571,2017-02-15 15:09:31.437253,opozniony,pogoda,> 3h,6534ED0F,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
121,2051061,2017-01-26 10:07:58.455589,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
122,2051118,2017-01-26 12:33:11.283748,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
123,2045536,2016-12-16 08:27:23.848411,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
124,2045661,2016-12-16 23:04:52.292933,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
125,2045680,2016-12-18 23:04:40.606412,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
126,2052403,2017-02-03 13:28:27.651947,opozniony,strajk,> 3h,0B04BEB0,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
127,2095085,2017-07-26 07:44:23.626493,opozniony,pogoda,> 3h,4BC98F88,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
128,2006055,2016-05-18 06:28:30.921995,opozniony,brak powodu,> 3h,086F7126,da,bezposredni,,ZZ,wyplacony,,,600.00,300.00,1,25,0,300
129,2095241,2017-07-26 09:57:49.869281,opozniony,pogoda,> 3h,9044EA5E,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
130,48956,2015-09-22 12:32:06.577376,anulowany,brak powodu,> 3h,744FB03E,en,posredni,,ZZ,wyplacony,,,800.00,400.00,2,25,0,400
131,2004414,2016-04-07 14:19:56.526506,opozniony,brak powodu,> 3h,F9B69DB2,en,bezposredni,,ZZ,wyplacony,,,800.00,400.00,2,25,0,400
132,2095582,2017-07-27 06:14:54.690137,opozniony,pogoda,> 3h,B8800085,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
133,2095637,2017-07-27 06:59:54.998427,opozniony,pogoda,> 3h,5762299B,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125
134,2045896,2016-12-19 23:04:57.644273,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
135,2009431,2016-07-27 08:59:09.240658,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,300.00,1,25,0,300
136,2045909,2016-12-20 08:44:14.940386,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
137,11849,2014-07-26 00:05:52.912582,opozniony,strajk,> 3h,76AECA69,pt,bezposredni,,PT,wyplacony,,,1200.00,750.00,3,25,0,450
138,19623,2014-09-21 19:04:22.376183,opozniony,strajk,> 3h,E1582D47,pt,bezposredni,,PT,wyplacony,,,800.00,600.00,2,25,0,200
139,2006027,2016-05-17 13:24:01.162550,opozniony,strajk,> 3h,36B6F34F,da,bezposredni,,ZZ,wyplacony,,,500.00,300.00,2,25,0,200
140,36647,2013-08-06 13:13:04.000000,opozniony,strajk,> 3h,36B6F34F,da,bezposredni,,ZZ,wyplacony,,,500.00,200.00,2,25,0,300
141,2051373,2017-01-30 08:06:46.347003,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
142,16139,2014-08-26 10:52:39.965011,opozniony,brak powodu,> 3h,CCDF1762,pt,bezposredni,,PT,wyplacony,,,2000.00,400.00,3,25,0,1600
143,2009429,2014-05-16 06:43:13.718577,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,300.00,1,25,0,300
144,2053343,2017-02-08 08:40:32.124335,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
145,2006346,2016-05-23 07:53:49.258213,opozniony,strajk,> 3h,76C22B55,sv,bezposredni,,SE,wyplacony,,,500.00,250.00,2,25,0,250
146,36492,2013-07-29 09:05:34.000000,opozniony,brak powodu,> 3h,086F7126,da,bezposredni,,ZZ,wyplacony,,,600.00,300.00,1,25,0,300
147,2052067,2017-02-02 11:00:52.759910,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,PL,wyplacony,,,500.00,250.00,2,25,25,250
148,11192,2014-07-20 17:59:04.076047,opozniony,brak powodu,> 3h,25128757,en,bezposredni,,ZZ,wyplacony,,,1200.00,600.00,2,25,0,600
149,2046032,2016-12-20 23:04:48.299002,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
150,2046290,2016-12-21 14:49:02.709117,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
151,2048865,2017-01-12 13:02:30.090953,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
152,2049007,2017-01-12 23:02:48.590866,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
153,2052263,2017-02-03 07:46:57.731258,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
154,2046451,2016-12-22 23:05:26.804445,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
155,2049206,2017-01-14 23:03:28.300472,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
156,2049216,2017-01-15 23:06:41.288208,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
157,2046635,2016-12-23 23:05:50.590762,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
158,2046645,2016-12-24 23:04:58.751342,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
159,2046655,2016-12-25 23:05:22.821840,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
160,2046850,2016-12-27 23:05:29.294881,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
161,2052477,2017-02-06 10:20:30.658191,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,PL,wyplacony,,,500.00,250.00,2,25,25,250
162,2049401,2017-01-16 23:06:42.085308,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
163,2052509,2017-02-06 10:50:37.797463,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250
164,2049702,2017-01-17 23:03:18.965376,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
165,2044622,2016-12-13 08:15:04.559088,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,PL,wyplacony,,,500.00,250.00,2,25,25,250
166,2044603,2016-12-12 14:58:32.231628,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,PL,wyplacony,,,250.00,125.00,1,25,25,125
