#,id,data_utworzenia,typ_wniosku,powod_operatora,opoznienie,nr_referencyjny,jezyk,kanal,partner,kod_kraju,stan_wniosku,typ_podrozy,zrodlo_polecenia,kwota_rekompensaty_oryginalna,kwota_rekompensaty,liczba_pasazerow,oplata_za_usluge_procent,oplata_za_usluge_prawnicza_procent,roznica_kwot_oryg_reko
1,2005703,2016-05-12 11:05:52.513072,anulowany,brak powodu,nie dotarlem na miejsce,234C37E9,en,bezposredni,,IE,wyplacony,,,1200.00,745.00,2,25,25,455
2,2005706,2016-05-12 13:03:11.120958,opozniony,brak powodu,nie dotarlem na miejsce,3B36BCB9,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300
3,2001113,2016-01-22 08:38:58.924842,opozniony,brak powodu,> 3h,3E336734,en,bezposredni,,PL,wyplacony,,,250.00,100.00,1,25,25,150
4,2000347,2015-12-21 09:34:10.408573,opozniony,brak powodu,> 3h,56ACCAA3,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400
5,2006187,2016-05-19 14:01:15.780020,opozniony,pogoda,> 4h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250
6,35905,2015-03-16 19:23:09.526643,anulowany,strajk,> 4h,23BAB8ED,da,bezposredni,,DK,wyplacony,,,2400.00,300.00,4,25,25,2100
7,2000264,2015-12-16 07:48:31.852192,opozniony,brak powodu,> 3h,FB469D7E,en,bezposredni,,PL,wyplacony,,,1200.00,600.00,2,25,25,600
8,54254,2015-11-11 16:05:37.152757,opozniony,brak powodu,> 3h,F285A561,it,bezposredni,,IT,wyplacony,prywatny,,250.00,125.00,1,25,25,125
9,2000088,2015-12-03 08:20:40.156230,opozniony,brak powodu,> 3h,1F32AA4C,en,bezposredni,,CH,wyplacony,biznesowy,,600.00,200.00,1,25,25,400
10,2000072,2015-12-02 11:33:34.592779,anulowany,brak powodu,> 3h,A89CF447,it,bezposredni,,PL,wyplacony,biznesowy,fb / twitter,250.00,125.00,1,25,25,125
11,2000506,2016-01-11 15:32:41.021042,opozniony,brak powodu,> 3h,FB469D7E,en,bezposredni,,PL,wyplacony,,,1200.00,600.00,2,25,25,600
12,2001298,2016-01-26 08:45:45.064259,opozniony,brak powodu,> 3h,A30ED01B,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400
13,2000349,2015-12-21 09:37:55.597198,opozniony,brak powodu,> 3h,F7F92681,en,bezposredni,,PL,wyplacony,,,250.00,125.00,1,25,25,125
14,47454,2015-09-10 09:46:39.649317,opozniony,brak powodu,> 3h,1AFA36BF,it,bezposredni,,IT,wyplacony,prywatny,,600.00,250.00,1,25,25,350
15,2001244,2016-01-25 07:57:42.128207,opozniony,strajk,> 3h,273CE13A,en,bezposredni,,PL,wyplacony,,,600.00,370.00,1,25,25,230
16,2001243,2016-01-25 07:39:19.541163,opozniony,strajk,> 3h,273CE13A,en,bezposredni,,PL,wyplacony,,,600.00,230.00,1,25,25,370
17,2000604,2016-01-14 12:00:39.567889,opozniony,brak powodu,> 3h,C1BCD9BD,en,bezposredni,,TR,wyplacony,biznesowy,przyjaciele,270.00,20.00,1,25,25,250
18,51441,2015-10-21 11:59:21.343825,opozniony,brak powodu,> 3h,6980D730,fi,bezposredni,,FI,wyplacony,biznesowy,fb / twitter,400.00,250.00,1,25,25,150
19,2001037,2016-01-22 07:50:34.915321,anulowany,brak powodu,> 4h,A30ED01B,en,bezposredni,,PL,wyplacony,,,400.00,0.00,2,25,25,400
20,49967,2015-10-01 09:22:23.181269,opozniony,brak powodu,> 3h,C2AAF94A,en,bezposredni,,JP,wyplacony,biznesowy,wyszukiwarki,1200.00,500.00,2,25,25,700
21,30118,2015-01-07 15:28:26.730512,anulowany,strajk,> 4h,58FCA2B8,en,bezposredni,,ZZ,wyplacony,,,1200.00,900.00,2,25,25,300
22,36901,2015-04-07 12:25:30.901630,anulowany,strajk,> 4h,5246731C,sv,bezposredni,,SE,wyplacony,,,500.00,250.00,2,25,25,250
23,36067,2015-03-23 11:33:07.927046,opozniony,strajk,> 3h,370654A9,da,bezposredni,,DK,wyplacony,,,3600.00,3000.00,6,25,25,600
24,47393,2015-09-09 15:50:06.780274,opozniony,brak powodu,> 3h,66CEF9BD,nb,bezposredni,,NO,wyplacony,biznesowy,,800.00,400.00,2,25,25,400
25,43648,2015-08-03 09:02:53.717714,opozniony,strajk,> 3h,0CF4B7B9,es,bezposredni,,ES,wyplacony,,,500.00,250.00,2,25,25,250
26,40987,2015-07-06 21:01:49.816738,opozniony,brak powodu,> 3h,38AB98DA,en,bezposredni,,GB,wyplacony,,,500.00,250.00,2,25,25,250
27,40916,2015-07-06 09:15:17.529414,anulowany,strajk,> 3h,F7057520,es,bezposredni,,ES,wyplacony,,,800.00,400.00,2,25,25,400
28,44177,2015-08-07 19:34:14.734043,anulowany,brak powodu,> 4h,B551C6D2,da,bezposredni,,DK,wyplacony,,,1000.00,750.00,4,25,25,250
29,41202,2015-07-08 19:58:55.424065,przepelniony,brak powodu,> 3h,10428EBC,en,bezposredni,,US,wyplacony,,,1200.00,600.00,2,25,25,600
30,38751,2015-05-19 12:52:57.594487,opozniony,brak powodu,> 3h,882E9D17,pl,bezposredni,,PL,wyplacony,,,1600.00,1200.00,4,25,25,400
31,34633,2015-02-23 07:32:50.329449,anulowany,brak powodu,> 4h,0AE8E55F,pl,bezposredni,,PL,wyplacony,,,1000.00,750.00,4,25,25,250
32,2001246,2016-01-25 08:15:28.787571,opozniony,brak powodu,> 3h,897C8FDE,en,bezposredni,,PL,wyplacony,,,800.00,400.00,2,25,25,400
33,2001817,2016-02-07 23:02:48.309109,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,222.20,1,25,25,377.8
34,2002028,2016-02-12 07:30:33.482533,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,600.00,455.50,1,25,25,144.5
35,2002025,2016-02-11 23:03:06.880312,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400
36,2002030,2016-02-12 08:41:23.691996,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,256.00,1,25,25,344
37,2002077,2016-02-12 11:50:58.994827,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,75.00,1,25,25,175
