#,id,kwota_rekompensaty,kwota_rekompensaty_oryginalna,roznica,mediana
1,55103,600.00,3600.00,3000,125
2,2005089,600.00,3000.00,2400,125
3,40029,600.00,3000.00,2400,125
4,35905,300.00,2400.00,2100,125
5,2158150,112.00,2000.00,1888,125
6,2151403,600.00,2400.00,1800,125
7,16139,400.00,2000.00,1600,125
8,2037162,750.00,2250.00,1500,125
9,56215,400.00,1600.00,1200,125
10,33297,600.00,1800.00,1200,125
11,2101137,600.00,1800.00,1200,125
12,2094338,1200.00,2400.00,1200,125
13,2099927,1200.00,2400.00,1200,125
14,44006,600.00,1800.00,1200,125
15,2101190,600.00,1800.00,1200,125
16,2073350,800.00,2000.00,1200,125
17,2073557,800.00,2000.00,1200,125
18,2113379,98.02,1200.00,1101.98,125
19,2063709,100.00,1200.00,1100,125
20,2107041,100.00,1200.00,1100,125
21,2106980,750.00,1800.00,1050,125
22,2001986,-700.00,300.00,1000,125
23,54796,300.00,1200.00,900,125
24,56248,100.00,1000.00,900,125
25,39092,300.00,1200.00,900,125
26,2073545,1200.00,2000.00,800,125
27,2073186,1200.00,2000.00,800,125
28,2107008,1000.00,1800.00,800,125
29,56217,250.00,1000.00,750,125
30,2037161,1500.00,2250.00,750,125
31,2108726,450.00,1200.00,750,125
32,55320,250.00,1000.00,750,125
33,55317,450.00,1200.00,750,125
34,2005700,455.00,1200.00,745,125
35,2107007,478.00,1200.00,722,125
36,49967,500.00,1200.00,700,125
37,2061674,500.00,1200.00,700,125
38,2104784,500.00,1200.00,700,125
39,45096,122.00,800.00,678,125
40,2108065,100.00,750.00,650,125
41,29393,600.00,1200.00,600,125
42,56208,600.00,1200.00,600,125
43,2104228,600.00,1200.00,600,125
44,2004805,600.00,1200.00,600,125
45,53903,600.00,1200.00,600,125
46,2000951,600.00,1200.00,600,125
47,2001495,600.00,1200.00,600,125
48,2006345,600.00,1200.00,600,125
49,2107043,600.00,1200.00,600,125
50,2000039,600.00,1200.00,600,125
51,41202,600.00,1200.00,600,125
52,2001496,600.00,1200.00,600,125
53,11192,600.00,1200.00,600,125
54,53532,1200.00,1800.00,600,125
55,36067,3000.00,3600.00,600,125
56,55116,200.00,800.00,600,125
57,2108505,600.00,1200.00,600,125
58,2150600,1800.00,2400.00,600,125
59,2101027,200.00,800.00,600,125
60,2071359,600.00,1200.00,600,125
61,2006445,600.00,1200.00,600,125
62,55314,600.00,1200.00,600,125
63,2087550,600.00,1200.00,600,125
64,2000264,600.00,1200.00,600,125
65,37332,600.00,1200.00,600,125
66,2000431,600.00,1200.00,600,125
67,2073006,600.00,1200.00,600,125
68,2001033,0.00,600.00,600,125
69,55774,600.00,1200.00,600,125
70,2007872,0.00,600.00,600,125
71,2005091,2400.00,3000.00,600,125
72,52824,1200.00,1800.00,600,125
73,2103900,300.00,900.00,600,125
74,2004533,600.00,1200.00,600,125
75,53555,2400.00,3000.00,600,125
76,55316,600.00,1200.00,600,125
77,2000506,600.00,1200.00,600,125
78,2037311,0.01,600.00,599.99,125
79,2068588,200.00,750.00,550,125
80,2003718,200.00,750.00,550,125
81,2007404,0.00,500.00,500,125
82,2084554,700.00,1200.00,500,125
83,2066761,700.00,1200.00,500,125
84,2108513,100.00,600.00,500,125
85,2004771,250.00,750.00,500,125
