#,id,liczba_pasazerow,typ_podrozy
1,2005703,2,
2,2005706,1,
3,2005690,1,
4,2001113,1,
5,2000347,1,
6,2006187,2,
7,2001167,1,
8,35905,4,
9,2000264,2,
10,54254,1,prywatny
11,2000088,1,biznesowy
12,2000072,1,biznesowy
13,53830,1,
14,2001252,1,
15,2000506,2,
16,2001298,1,
17,2000899,1,
18,2001114,1,
19,2001503,1,
20,2001504,1,
21,2000349,1,
22,2001517,1,
23,2001175,1,
24,47454,1,prywatny
25,2001244,1,
26,2001243,1,
27,2000604,1,biznesowy
28,35973,1,
29,51441,1,biznesowy
30,2001037,2,
31,49967,2,biznesowy
32,30118,2,
33,36901,2,
34,2001211,1,
35,36067,6,
36,47393,2,biznesowy
37,43648,2,
38,40987,2,
39,40916,2,
40,44177,4,
41,41202,2,
42,38751,4,
43,34633,4,
44,2001246,2,
45,2001817,1,
46,2001966,2,
47,2001987,1,
48,2001967,1,
49,2002028,1,
50,2002024,1,
51,2002025,1,
52,2002030,1,
53,2002027,1,
54,2002029,1,
55,2002077,1,
56,2002054,1,
57,2002040,1,
58,2002053,1,
59,2002067,1,
60,2002055,1,
61,2002139,1,
62,2002056,1,
63,2002154,1,
64,2002161,1,
65,2002187,1,
66,2002186,1,
67,2002188,1,
68,2002184,1,
69,2002182,1,
70,2002201,1,
71,2002257,1,
72,2002258,1,
73,2002270,1,
74,2002267,1,
75,2002264,1,
76,2002262,2,
77,2002260,1,
78,2002272,1,
79,2002271,1,
80,2002308,1,
81,2002422,1,
82,2002447,1,
83,2002026,1,
84,2003510,1,
85,2003506,1,
86,2003718,3,
87,2004010,1,
88,2004033,1,
89,2002545,2,
90,2004084,1,
91,2004085,1,
92,2004088,1,
93,2004083,1,
94,2004154,1,
95,2004371,1,
96,2004360,2,
97,2004374,2,
98,2004303,1,
99,2004349,1,
100,2004372,1,
101,2004370,1,
102,2004489,2,biznesowy
103,2005089,5,
104,2005107,2,
105,2005091,5,
106,2005110,2,
107,2005112,2,
108,2005111,2,
109,2005109,3,
110,2005115,3,
111,2005116,2,
112,2005105,2,
113,2005119,2,
114,2006052,2,
115,2006096,1,prywatny
116,2006345,2,
117,29393,2,
118,2004805,2,biznesowy
119,2006466,1,
120,2006467,1,
121,2011016,1,
122,2011097,1,
123,2011152,1,
124,2010652,1,
125,2000948,1,
126,2009990,1,
127,2008526,2,
128,2010053,1,
129,2010052,1,
130,2012360,1,
131,2007872,1,prywatny
132,2037156,4,
133,2037161,9,
134,2037163,2,
135,2037165,2,
136,2037263,1,
137,2037264,1,
138,2013797,2,
139,2037309,1,
140,2004843,1,
141,2005194,1,
142,2104784,2,
143,2101130,1,
144,2097203,1,
145,2097146,1,
146,2054735,2,
147,2097269,1,
148,2097417,1,
149,2097415,1,
150,2101190,3,
151,2104793,1,
152,2101170,1,
153,2004032,1,
154,2097438,1,
155,2110658,1,
156,2053648,2,
157,2053792,2,
158,2094058,1,
159,2092124,1,
160,2050739,2,
161,2094083,1,
162,2092231,1,
163,2092264,1,
164,2050852,2,
165,2054571,2,
166,2051061,2,
167,2051118,2,
168,2045536,2,
169,2045661,2,
170,2007873,1,
171,2045680,2,
172,2052403,1,
173,2095085,1,
174,2006055,1,
175,2095241,1,
176,48956,2,
177,2004414,2,
178,2095582,1,
179,2095637,1,
180,2045896,2,
181,2009431,1,
182,2045909,2,
183,11849,3,
184,19623,2,
185,2006027,2,
186,36647,2,
187,2051373,2,
188,16139,3,
189,2009429,1,
190,2053343,2,
191,2006346,2,
192,36492,1,
193,2052067,2,
194,11192,2,
195,2046032,2,
196,2046290,2,
197,2048865,2,
198,2049007,2,
199,2052263,2,
200,2046451,2,
201,2049206,2,
202,2049216,2,
203,2046635,2,
204,2046645,2,
205,2046655,2,
206,2046850,2,
207,2052477,2,
208,2049401,2,
209,2052509,2,
210,2049702,2,
211,2044622,2,
212,2044603,1,
213,2044676,2,
214,2044759,2,
215,2049867,2,
216,2052791,2,
217,2049882,2,
218,2044941,2,
219,2044946,1,
220,2045182,1,
221,2052567,1,
222,2045352,2,
223,2045469,2,
224,2047842,2,
225,2050010,2,
226,2050024,2,
227,2047860,2,
228,2050044,2,
229,2047922,2,
230,2051358,2,
231,2044604,2,
232,2053872,2,
233,2053805,2,
234,2053672,2,
235,2053691,2,
236,2053708,2,
237,2053947,2,
238,2053984,2,
239,2054221,2,
240,2054367,2,
241,2009445,1,
242,2054530,2,
243,2054542,2,
244,2054553,2,
245,2054590,2,
246,2054672,1,
247,53903,2,
248,2000331,1,biznesowy
249,2000928,1,
250,2000949,1,
251,2000313,1,
252,9858,1,
253,18382,1,
254,44006,2,
255,2001722,1,
256,44087,2,
257,2001700,1,
258,40029,3,
259,2001770,1,
260,41993,2,
261,56248,4,prywatny
262,39092,2,
263,37332,2,
264,2001698,1,
265,43790,2,
266,2000039,2,
267,2001495,2,
268,2001496,2,
269,31851,2,
270,2000018,2,
271,55850,1,biznesowy
272,2002015,1,
273,2002014,1,
274,2001983,1,
275,2001988,1,
276,2002043,1,
277,2002185,1,
278,2002183,1,
279,2002189,1,
280,2003205,1,
281,2003217,1,
282,2004080,1,
283,2004098,1,
284,2004158,2,
285,2000431,2,
286,2004753,3,
287,2005028,2,
288,2005122,2,
289,2005075,2,
290,2005232,1,
291,2011728,1,
292,2011368,1,
293,2011974,1,
294,2012675,1,
295,2013011,1,
296,2037033,1,biznesowy
297,2037037,1,
298,2013596,1,
299,2005683,1,
300,2005684,1,
301,2005700,2,
302,2003917,1,biznesowy
303,2003918,1,biznesowy
304,2003794,1,
305,2003419,1,
306,2104900,1,
307,2101344,1,
308,2101446,1,
309,2097644,1,
310,2101506,1,
311,2101479,1,
312,2101537,1,
313,2104965,1,
314,2101710,1,
315,2108015,1,
316,2098083,1,
317,2108044,1,
318,2102038,1,
319,2102176,1,
320,2098575,1,
321,2098411,1,
322,2098450,1,
323,2102057,1,
324,2102122,1,
325,2102091,1,
326,2098857,1,
327,2098878,1,
328,2102150,1,
329,2108065,3,
330,2110738,1,
331,2068985,2,
332,2102205,1,
333,2098973,1,
334,2105312,1,
335,2102230,1,
336,2099028,2,
337,2110822,1,
338,2102261,1,
339,2099194,1,
340,2105363,1,
341,2105379,2,
342,2122006,1,
343,2099291,1,
344,2105407,1,
345,2099757,1,
346,2094338,4,
347,2099813,1,
348,2088599,1,
349,2129615,1,
350,2103030,1,
351,2063825,2,
352,2100188,1,
353,2100279,1,
354,2100389,1,
355,2103059,1,
356,2105681,1,
357,54225,1,prywatny
358,2108455,1,
359,2108482,1,
360,2100612,1,
361,2100656,1,
362,2103256,1,
363,2042316,1,
364,2122041,1,
365,2108506,2,
366,2105727,1,
367,2108035,2,
368,2100694,1,
369,2103394,1,
370,2100929,2,
371,2100768,1,
372,2108582,1,
373,2103455,1,
374,2075202,1,
375,2087550,2,
376,2114727,1,
377,2105854,1,
378,2103505,1,
379,2105992,1,
380,2103730,1,
381,2114775,1,
382,2103760,1,
383,2111077,1,
384,2106237,1,
385,2103900,3,
386,2103887,1,
387,2108509,2,
388,2122076,1,
389,2104032,1,
390,2142519,1,
391,2106404,1,
392,2111147,1,
393,2104228,2,
394,2105423,1,
395,2104214,1,
396,2106441,1,
397,2063180,1,
398,2125749,1,
399,2106455,1,
400,2111208,2,
401,2106475,1,
402,2106464,1,
403,2104244,1,
404,2106567,1,
405,2111228,1,
406,2114816,1,
407,2111242,1,
408,2106702,1,
409,2104377,1,
410,2106718,1,
411,2106809,2,
412,2059437,2,
413,2114903,1,
414,2109184,1,
415,2109215,1,
416,2067113,2,
417,2106884,1,
418,2106917,1,
419,2106980,3,
420,2104524,1,
421,2109248,1,
422,2109276,1,
423,2111348,1,
424,2110996,2,
425,2114950,1,
426,2106981,2,
427,2104744,1,
428,2104638,1,
429,2063696,1,
430,2107021,1,
431,2106991,1,
432,2101137,3,
433,2104713,1,
434,2107007,2,
435,2114987,1,
436,2104663,1,
437,2104688,1,
438,2107272,1,
439,2107052,1,
440,2104768,1,
441,2096090,1,
442,2109370,1,
443,2107313,1,
444,2107421,1,
445,2107437,1,
446,2110669,1,
447,2107449,1,
448,2118680,1,
449,2107555,1,
450,2107980,4,
451,2109948,4,
452,2070522,1,
453,2107686,1,
454,2111824,1,
455,2107718,1,
456,2110156,1,
457,2073186,5,
458,2068279,2,
459,2073198,2,
460,2111971,1,
461,2110334,1,
462,2108840,2,
463,2107807,1,
464,2115277,1,
465,2115261,1,
466,2118811,1,
467,2115308,1,
468,2110444,1,
469,2136308,1,
470,2110473,1,
471,2110511,1,
472,2112270,1,
473,2112407,1,
474,2149607,1,
475,2118853,1,
476,2118949,1,
477,2112512,1,
478,2112514,1,
479,2112674,1,
480,2112625,1,
481,2112560,1,
482,2112552,1,
483,2115754,1,
484,2112853,1,
485,2112885,2,
486,2115936,1,
487,2115902,1,
488,2125878,1,
489,2113011,1,
490,2113027,1,
491,2113267,1,
492,2119024,1,
493,2119081,1,
494,2116091,1,
495,2113309,1,
496,2113321,1,
497,2113333,1,
498,2113314,1,
499,2113327,1,
500,2113329,1,
501,2113387,1,
502,2084554,2,
503,2113317,1,
504,2113325,1,
505,2113580,1,
506,2119172,1,
507,2113799,1,
508,2119142,1,
509,2114051,1,
510,2114078,1,
511,2116283,1,
512,2125910,1,
513,2114269,1,
514,2114302,1,
515,2119329,1,
516,2114313,1,
517,2114342,1,
518,2076195,1,
519,2114465,1,
520,2116417,1,
521,2119366,1,
522,2116443,1,
523,2119411,1,
524,2119471,1,
525,2119441,1,
526,2116471,1,
527,2072744,2,
528,2125970,1,
529,2119584,1,
530,2116578,1,
531,2119629,1,
532,2116796,1,
533,2122653,1,
534,2119668,1,
535,2122718,1,
536,2122687,1,
537,2119775,1,
538,2116894,1,
539,2119714,1,
540,2119745,1,
541,2117248,1,
542,2126219,1,
543,2117263,1,
544,2126229,1,
545,2117367,1,
546,2120095,1,
547,2117407,1,
548,2120112,1,
549,2126327,1,
550,2122923,1,
551,2126284,1,
552,2120252,1,
553,2117639,1,
554,2130051,1,
555,2130023,1,
556,2120309,1,
557,2082382,1,
558,2120365,1,
559,2123287,1,
560,2123329,1,
561,2117783,1,
562,2117966,1,
563,2120366,1,
564,2126364,1,
565,2123448,1,
566,2082678,1,
567,2126467,1,
568,2123537,1,
569,2123581,1,
570,2123516,1,
571,2120865,1,
572,2080913,1,
573,2123497,1,
574,2126799,1,
575,2120827,1,
576,2126726,1,
577,2123620,1,
578,2086013,1,
579,2123678,1,
580,2126886,1,
581,2121206,1,
582,2123710,1,
583,2123742,1,
584,2121401,1,
585,2123775,1,
586,2123805,1,
587,2089525,1,
588,2121582,1,
589,2121621,1,
590,2123923,1,
591,2089556,1,
592,2126970,1,
593,2121828,1,
594,2096276,1,
595,2121964,1,
596,2124028,1,
597,2083729,1,
598,2124068,1,
599,2124359,1,
600,2127203,1,
601,2124326,1,
602,2124449,1,
603,2130310,1,
604,2124387,1,
605,2127347,1,
606,2124426,1,
607,2142628,1,
608,2130535,1,
609,2133761,1,
610,2124650,1,
611,2127448,1,
612,2124553,1,
613,2124619,1,
614,2125697,1,
615,2124680,1,
616,2124705,1,
617,2130708,1,
618,2133912,1,
619,2133948,1,
620,2127641,1,
621,2124761,1,
622,2127686,1,
623,2124835,1,
624,2125094,1,
625,2130903,1,
626,2130998,1,
627,2131086,1,
628,2127992,1,
629,2125152,1,
630,2125173,1,
631,2131061,1,
632,2125208,1,
633,2131113,1,
634,2125424,1,
635,2128064,1,
636,2125603,1,
637,2131229,1,
638,2090464,1,
639,2131161,1,
640,2131203,1,
641,2128293,1,
642,2136615,1,
643,2134231,1,
644,2131823,1,
645,2131863,1,
646,2128397,1,
647,2090683,1,
648,2090725,1,
649,2134261,1,
650,2128429,1,
651,2136740,1,
652,2128497,1,
