#,id,liczba_pasazerow,typ_podrozy
653,2132012,1,
654,2088586,1,
655,2128518,1,
656,2145725,1,
657,2088609,1,
658,2139571,1,
659,2132324,1,
660,2134497,1,
661,2128683,1,
662,2128659,1,
663,2091097,1,
664,2087695,1,
665,2087735,1,
666,2129169,1,
667,2093312,1,
668,2129269,1,
669,2129077,1,
670,2136863,1,
671,2132582,1,
672,2048230,2,
673,2048244,2,
674,2129340,1,
675,2132604,1,
676,2132641,1,
677,2129476,1,
678,2134829,1,
679,2129370,1,
680,2129558,1,
681,2129574,1,
682,2129523,1,
683,2145762,1,
684,2132989,1,
685,2142771,1,
686,2096964,1,
687,2134994,1,
688,2097037,1,
689,2135255,1,
690,2135143,1,
691,2142808,1,
692,2097051,1,
693,2139875,1,
694,2094008,1,
695,2137369,1,
696,2139923,1,
697,2048484,2,
698,2135792,1,
699,2149799,1,
700,2054690,2,
701,2054756,2,
702,2135843,1,
703,2135976,1,
704,2136097,1,
705,2054822,2,
706,2136096,1,
707,2142921,1,
708,2137804,1,
709,2143201,1,
710,2054865,2,
711,2138041,1,
712,2140038,1,
713,2137931,1,
714,2143040,1,
715,2143169,1,
716,2138037,1,
717,2138000,2,
718,2143165,1,
719,2137965,1,
720,2137998,1,
721,2140085,1,
722,2060668,2,
723,2054852,2,
724,2143167,1,
725,2054922,2,
726,2143149,1,
727,2057645,1,
728,2143237,1,
729,2057654,2,
730,2146066,1,
731,2143278,1,
732,2138991,1,
733,2143353,1,
734,2143317,1,
735,2139166,1,
736,2140697,1,
737,2146232,1,
738,2055079,2,
739,2054989,2,
740,2053771,2,
741,2143399,1,
742,2143484,1,
743,2060813,2,
744,2140734,1,
745,2060818,2,
746,2140923,1,
747,2057772,2,
748,2143541,1,
749,2143567,1,
750,2055087,2,
751,2143637,1,
752,2141053,1,
753,2141008,1,
754,2141122,1,
755,2141204,1,
756,2149988,1,
757,2055098,2,
758,2141163,1,
759,2146358,1,
760,2143644,1,
761,2150009,1,
762,2053657,2,
763,2141279,1,
764,2146581,1,
765,2146762,1,
766,2055152,2,
767,2141331,1,
768,2143794,1,
769,2141407,1,
770,2143815,1,
771,2156561,1,
772,2143872,1,
773,2141495,1,
774,2146848,1,
775,2141703,1,
776,2153540,1,
777,2146960,1,
778,2143940,1,
779,2141927,1,
780,2147173,1,
781,2147024,1,
782,2055472,2,
783,2147140,1,
784,2147285,1,
785,2142074,1,
786,2144157,1,
787,2144068,1,
788,2147331,1,
789,2142147,1,
790,2150327,1,
791,2142189,1,
792,2142318,1,
793,2142384,1,
794,2142420,1,
795,2144282,1,
796,2060931,2,
797,2144360,1,
798,2144332,1,
799,2147552,1,
800,2156644,1,
801,2150652,1,
802,2150408,1,
803,2147607,1,
804,2144400,1,
805,2144412,1,
806,2143575,1,
807,2147892,1,
808,2147767,1,
809,2144513,1,
810,2058084,2,
811,2147854,1,
812,2147815,1,
813,2144557,1,
814,2150768,1,
815,2147931,1,
816,2150841,1,
817,2148221,1,
818,2145096,1,
819,2145082,1,
820,2151091,1,
821,2151059,1,
822,2154243,1,
823,2055668,2,
824,2151161,1,
825,2145176,1,
826,2145146,1,
827,2148598,1,
828,2145154,1,
829,2151202,1,
830,2150600,4,
831,2148681,1,
832,2145292,1,
833,2055815,2,
834,2066178,2,
835,2061010,2,
836,2055980,2,
837,2145456,1,
838,2055971,2,
839,2058284,2,
840,2056022,2,
841,2154426,1,
842,2149400,1,
843,2149285,1,
844,2056036,2,
845,2149305,1,
846,2151692,1,
847,2151649,1,
848,2151731,1,
849,2154608,1,
850,2154573,1,
851,2156947,1,
852,2058501,2,
853,2154780,1,
854,2157086,1,
855,2154817,1,
856,2056707,2,
857,2152141,1,
858,2061324,2,
859,2061302,2,
860,2157270,1,
861,2059070,2,
862,2056833,2,
863,2152202,1,
864,2061369,2,
865,2056852,2,
866,2063620,1,
867,2155288,1,
868,2059118,2,
869,2061397,2,
870,2057206,2,
871,2152430,1,
872,2152555,1,
873,2157307,1,
874,2057281,2,
875,2063292,2,
876,2061406,2,
877,2059438,2,
878,2059360,2,
879,2061418,2,
880,2059420,2,
881,2059456,2,
882,2157349,1,
883,2063747,2,
884,2059523,2,
885,2066433,2,
886,2061543,2,
887,2063805,2,
888,2059532,2,
889,2061565,2,
890,2059585,2,
891,2059900,2,
892,2085369,1,
893,2081627,1,
894,2059236,1,
895,2061788,2,
896,2061801,2,
897,2157435,1,
898,2155651,1,
899,2060492,2,
900,2061962,1,
901,2061920,2,
902,2064117,2,
903,2062104,2,
904,2060520,2,
905,2064131,2,
906,2061674,2,
907,2064145,2,
908,2064151,2,
909,2064226,1,
910,2062316,2,
911,2066761,2,
912,2062513,2,
913,2064300,2,
914,2066769,2,
915,2066772,2,
916,2062585,2,
917,2064491,2,
918,2062647,2,
919,2064575,2,
920,2155854,1,
921,2064700,2,
922,2066870,2,
923,2066935,2,
924,2062896,2,
925,2064772,2,
926,2062916,2,
927,2066965,2,
928,2156146,1,
929,2067029,2,
930,2069611,2,
931,2072814,2,
932,2065206,2,
933,2065230,3,
934,2069620,2,
935,2065288,1,
936,2069801,2,
937,2072831,2,
938,2065301,2,
939,2069747,2,
940,2067122,2,
941,2067133,2,
942,2065313,2,
943,2069917,2,
944,2065324,2,
945,2065332,2,
946,2061967,1,
947,2065343,2,
948,2067204,2,
949,2065423,1,
950,2065437,2,
951,2156188,1,
952,2157834,1,
953,2072976,2,
954,2071359,2,
955,2065663,2,
956,2065648,2,
957,2070136,2,
958,2073015,2,
959,2067490,2,
960,2067507,2,
961,2065738,2,
962,2065843,2,
963,2075462,1,
964,2075526,1,
965,2070528,2,
966,2067985,2,
967,2068079,2,
968,2070629,2,
969,2073179,2,
970,2073170,2,
971,2068093,2,
972,2068291,2,
973,2068588,3,
974,2068594,2,
975,2073311,2,
976,2071125,2,
977,2068721,2,
978,2068813,2,
979,2073336,2,
980,2073363,2,
981,2075797,1,
982,2073345,2,
983,2075805,1,
984,2073531,2,
985,2075815,1,
986,2081823,1,
987,2156463,1,
988,2158120,1,
989,2073545,5,
990,2158135,8,
991,2075825,1,
992,2073553,2,
993,2158266,1,
994,2158393,1,
995,2071637,2,
996,2073629,2,
997,2078511,1,
998,2075856,1,
999,2071842,2,
1000,2073639,2,
1001,2071852,2,
1002,2085496,1,
1003,2073652,2,
1004,2078573,1,
1005,2078669,2,
1006,2075935,1,
1007,2078658,1,
1008,2075946,1,
1009,2072338,2,
1010,2072369,2,
1011,2072297,2,
1012,2073852,2,
1013,2081911,1,
1014,2076038,1,
1015,2073866,2,
1016,2073875,2,
1017,2072566,2,
1018,2076075,1,
1019,2081946,1,
1020,2078813,1,
1021,2074074,2,
1022,2076164,1,
1023,2074187,1,
1024,2079009,1,
1025,2076179,1,
1026,2074265,1,
1027,2079042,1,
1028,2076200,1,
1029,2079249,1,
1030,2079217,1,
1031,2076212,1,
1032,2076292,1,
1033,2074292,1,
1034,2076220,2,
1035,2082186,1,
1036,2079286,1,
1037,2082300,1,
1038,2074306,1,
1039,2082203,1,
1040,2071353,1,
1041,2074500,1,
1042,2079352,1,
1043,2074639,1,
1044,2076517,1,
1045,2076538,1,
1046,2074692,1,
1047,2076509,1,
1048,2076548,1,
1049,2076583,1,
1050,2076528,1,
1051,2076563,1,
1052,2085704,1,
1053,2074727,1,
1054,2082313,1,
1055,2076593,1,
1056,2076614,1,
1057,2079762,1,
1058,2074794,1,
1059,2076820,1,
1060,2074832,1,
1061,2092473,1,
1062,2082327,1,
1063,2074848,1,
1064,2082343,1,
1065,2074857,1,
1066,2074983,1,
1067,2075106,1,
1068,2077581,1,
1069,2077518,1,
1070,2077605,1,
1071,2077590,1,
1072,2080136,1,
1073,2085812,1,
1074,2080281,1,
1075,2080148,1,
1076,2080602,1,
1077,2080704,1,
1078,2080833,1,
1079,2082728,1,
1080,2080901,1,
1081,2080871,1,
1082,2082764,1,
1083,2082894,1,
1084,2080955,1,
1085,2089395,1,
1086,2081178,1,
1087,2083188,1,
1088,2081447,1,
1089,2092587,1,
1090,2081517,1,
1091,2089653,1,
1092,2083264,1,
1093,2092608,1,
1094,2086595,1,
1095,2083427,1,
1096,2048051,2,
1097,2086547,1,
1098,2083547,1,
1099,2086718,1,
1100,2086733,1,
1101,2084249,1,
1102,2086807,1,
1103,2084291,1,
1104,2083854,1,
1105,2086837,1,
1106,2083876,1,
1107,2084500,3,
1108,2084502,2,
1109,2084499,2,
1110,2092697,1,
1111,2086896,1,
1112,2084724,1,
1113,2089971,1,
1114,2044597,1,
1115,2084878,1,
1116,2087080,1,
1117,2087132,1,
1118,2085108,1,
1119,2096363,1,
1120,2044734,2,
1121,2087192,1,
1122,2092837,1,
1123,2087419,1,
1124,2092865,1,
1125,2096470,1,
1126,2049930,2,
1127,2087698,1,
1128,2087688,1,
1129,2087855,1,
1130,2090647,1,
1131,2092996,1,
1132,2096540,1,
1133,2092600,1,
1134,2090663,1,
1135,2096593,1,
1136,2090703,1,
1137,2088256,1,
1138,2096616,1,
1139,2088294,1,
1140,2090802,1,
1141,2093122,1,
1142,2048232,2,
1143,2055030,2,
1144,2090852,1,
1145,2059791,3,
1146,2048028,2,
1147,2093165,1,
1148,2048315,2,
1149,2048036,2,
1150,2048068,2,
1151,2088965,1,
1152,2048189,2,
1153,2048203,2,
1154,2091188,1,
1155,2048270,2,
1156,2091318,1,
1157,2048222,2,
1158,2050496,2,
1159,2051243,2,
1160,33297,2,
1161,2050601,2,
1162,2093740,1,
1163,2091665,1,
1164,2096996,1,
1165,2045670,2,
1166,2095197,1,
1167,2095334,1,
1168,2095463,1,
1169,2095742,1,
1170,29332,2,
1171,55116,2,
1172,2045075,2,
1173,2053774,2,
1174,2048736,2,
1175,2048958,2,
1176,2048913,2,
1177,2046340,2,
1178,2041209,2,
1179,2052466,2,
1180,2046665,2,
1181,2047019,2,
1182,2044624,2,
1183,2044620,2,
1184,2044627,2,
1185,2044683,2,
1186,2044630,2,
1187,2094603,1,
1188,2100904,1,
1189,2037259,1,
1190,2101144,1,
1191,2053527,2,
1192,2001251,1,
