#,partner,liczba,wyplacone,kwota_rekompensaty_oryginalna,roznica,procent
235,,1155,250.00,500.00,250,100
236,,1155,250.00,500.00,250,100
237,,1155,250.00,500.00,250,100
238,,1155,250.00,500.00,250,100
239,,1155,250.00,500.00,250,100
240,,1155,250.00,500.00,250,100
241,,1155,250.00,500.00,250,100
242,,1155,250.00,500.00,250,100
243,,1155,250.00,500.00,250,100
244,,1155,250.00,500.00,250,100
245,,1155,250.00,500.00,250,100
246,,1155,250.00,500.00,250,100
247,,1155,250.00,500.00,250,100
248,,1155,250.00,500.00,250,100
249,,1155,250.00,500.00,250,100
250,,1155,250.00,500.00,250,100
251,,1155,250.00,500.00,250,100
252,,1155,250.00,500.00,250,100
253,,1155,250.00,500.00,250,100
254,,1155,250.00,500.00,250,100
255,,1155,250.00,500.00,250,100
256,,1155,250.00,500.00,250,100
257,,1155,250.00,500.00,250,100
258,,1155,250.00,500.00,250,100
259,,1155,250.00,500.00,250,100
260,,1155,250.00,500.00,250,100
261,,1155,250.00,500.00,250,100
262,,1155,250.00,500.00,250,100
263,,1155,250.00,500.00,250,100
264,,1155,250.00,500.00,250,100
265,,1155,250.00,500.00,250,100
266,,1155,250.00,500.00,250,100
267,,1155,250.00,500.00,250,100
268,,1155,250.00,500.00,250,100
269,,1155,250.00,500.00,250,100
270,,1155,250.00,500.00,250,100
271,,1155,250.00,500.00,250,100
272,,1155,250.00,500.00,250,100
273,,1155,250.00,500.00,250,100
274,,1155,250.00,500.00,250,100
275,,1155,250.00,500.00,250,100
276,,1155,250.00,500.00,250,100
277,,1155,250.00,500.00,250,100
278,,1155,250.00,500.00,250,100
279,,1155,250.00,500.00,250,100
280,,1155,250.00,500.00,250,100
281,,1155,250.00,500.00,250,100
282,,1155,250.00,500.00,250,100
283,,1155,250.00,500.00,250,100
284,,1155,250.00,500.00,250,100
285,,1155,250.00,500.00,250,100
286,,1155,250.00,500.00,250,100
287,,1155,250.00,500.00,250,100
288,,1155,250.00,500.00,250,100
289,,1155,250.00,500.00,250,100
290,,1155,250.00,500.00,250,100
291,,1155,250.00,500.00,250,100
292,,1155,250.00,500.00,250,100
293,,1155,250.00,500.00,250,100
294,,1155,250.00,500.00,250,100
295,,1155,250.00,500.00,250,100
296,,1155,250.00,500.00,250,100
297,tui,22,250.00,500.00,250,100
298,tui,22,250.00,500.00,250,100
299,,1155,250.00,500.00,250,100
300,,1155,250.00,500.00,250,100
301,,1155,250.00,500.00,250,100
302,,1155,250.00,500.00,250,100
303,,1155,250.00,500.00,250,100
304,,1155,250.00,500.00,250,100
305,,1155,250.00,500.00,250,100
306,,1155,250.00,500.00,250,100
307,,1155,250.00,500.00,250,100
308,,1155,250.00,500.00,250,100
309,,1155,250.00,500.00,250,100
310,,1155,250.00,500.00,250,100
311,,1155,250.00,500.00,250,100
312,,1155,250.00,500.00,250,100
313,,1155,250.00,500.00,250,100
314,,1155,250.00,500.00,250,100
315,,1155,250.00,500.00,250,100
316,,1155,250.00,500.00,250,100
317,,1155,250.00,500.00,250,100
318,,1155,250.00,500.00,250,100
319,,1155,250.00,500.00,250,100
320,,1155,250.00,500.00,250,100
321,,1155,250.00,500.00,250,100
322,,1155,250.00,500.00,250,100
323,,1155,250.00,500.00,250,100
324,,1155,250.00,500.00,250,100
325,,1155,250.00,500.00,250,100
326,,1155,250.00,500.00,250,100
327,,1155,250.00,500.00,250,100
328,,1155,250.00,500.00,250,100
329,,1155,250.00,500.00,250,100
330,,1155,250.00,500.00,250,100
331,,1155,250.00,500.00,250,100
332,,1155,250.00,500.00,250,100
333,,1155,250.00,500.00,250,100
334,,1155,250.00,500.00,250,100
335,,1155,250.00,500.00,250,100
336,,1155,250.00,500.00,250,100
337,,1155,250.00,500.00,250,100
338,,1155,250.00,500.00,250,100
339,,1155,250.00,500.00,250,100
340,,1155,250.00,500.00,250,100
341,,1155,250.00,500.00,250,100
342,,1155,250.00,500.00,250,100
343,,1155,250.00,500.00,250,100
344,,1155,250.00,500.00,250,100
345,,1155,250.00,500.00,250,100
346,,1155,250.00,500.00,250,100
347,,1155,250.00,500.00,250,100
348,,1155,250.00,500.00,250,100
349,,1155,250.00,500.00,250,100
350,,1155,250.00,500.00,250,100
351,,1155,250.00,500.00,250,100
352,,1155,250.00,500.00,250,100
353,,1155,250.00,500.00,250,100
354,,1155,250.00,500.00,250,100
355,,1155,250.00,500.00,250,100
356,,1155,250.00,500.00,250,100
357,,1155,250.00,500.00,250,100
358,,1155,250.00,500.00,250,100
359,,1155,250.00,500.00,250,100
360,,1155,250.00,500.00,250,100
361,,1155,250.00,500.00,250,100
362,,1155,350.00,600.00,250,71.4285714285714286
363,,1155,250.00,500.00,250,100
364,,1155,250.00,500.00,250,100
365,,1155,250.00,500.00,250,100
366,,1155,250.00,500.00,250,100
367,,1155,250.00,500.00,250,100
368,,1155,250.00,500.00,250,100
369,,1155,250.00,500.00,250,100
370,,1155,250.00,500.00,250,100
371,,1155,250.00,500.00,250,100
372,,1155,250.00,500.00,250,100
373,,1155,250.00,500.00,250,100
374,,1155,250.00,500.00,250,100
375,,1155,250.00,500.00,250,100
376,,1155,250.00,500.00,250,100
377,,1155,250.00,500.00,250,100
378,,1155,250.00,500.00,250,100
379,,1155,250.00,500.00,250,100
380,,1155,250.00,500.00,250,100
381,,1155,250.00,500.00,250,100
382,,1155,250.00,500.00,250,100
383,,1155,250.00,500.00,250,100
384,,1155,250.00,500.00,250,100
385,,1155,250.00,500.00,250,100
386,,1155,250.00,500.00,250,100
387,,1155,250.00,500.00,250,100
388,,1155,250.00,500.00,250,100
389,,1155,250.00,500.00,250,100
390,,1155,250.00,500.00,250,100
391,,1155,250.00,500.00,250,100
392,,1155,250.00,500.00,250,100
393,,1155,250.00,500.00,250,100
394,,1155,250.00,500.00,250,100
395,,1155,250.00,500.00,250,100
396,,1155,250.00,500.00,250,100
397,,1155,250.00,500.00,250,100
398,,1155,250.00,500.00,250,100
399,,1155,250.00,500.00,250,100
400,,1155,250.00,500.00,250,100
401,,1155,250.00,500.00,250,100
402,,1155,250.00,500.00,250,100
403,,1155,250.00,500.00,250,100
404,,1155,350.25,600.00,249.75,71.3062098501070664
405,,1155,1.00,250.00,249,24900
406,,1155,10.00,250.00,240,2400
407,,1155,370.00,600.00,230,62.1621621621621622
408,,1155,300.00,500.00,200,66.6666666666666667
409,,1155,400.00,600.00,200,50
410,,1155,600.00,800.00,200,33.3333333333333333
411,tui,22,200.00,400.00,200,100
412,,1155,100.00,300.00,200,200
413,,1155,400.00,600.00,200,50
414,kiribati,13,400.00,600.00,200,50
415,,1155,50.00,250.00,200,400
416,,1155,400.00,600.00,200,50
417,,1155,50.00,250.00,200,400
418,,1155,400.00,600.00,200,50
419,,1155,50.00,250.00,200,400
420,tui,22,200.00,400.00,200,100
421,kiribati,13,200.00,400.00,200,100
422,,1155,400.00,600.00,200,50
423,,1155,400.00,600.00,200,50
424,,1155,600.00,800.00,200,33.3333333333333333
425,,1155,1000.00,1200.00,200,20
426,tui,22,209.50,400.00,190.5,90.9307875894988067
427,,1155,120.00,300.00,180,150
428,,1155,75.00,250.00,175,233.3333333333333333
429,,1155,125.00,300.00,175,140
430,,1155,75.00,250.00,175,233.3333333333333333
431,,1155,90.00,250.00,160,177.7777777777777778
432,,1155,350.00,500.00,150,42.8571428571428571
433,,1155,100.00,250.00,150,150
434,,1155,100.00,250.00,150,150
435,,1155,100.00,250.00,150,150
436,,1155,100.00,250.00,150,150
437,,1155,450.00,600.00,150,33.3333333333333333
438,,1155,100.00,250.00,150,150
439,,1155,100.00,250.00,150,150
440,,1155,100.00,250.00,150,150
441,,1155,100.00,250.00,150,150
442,,1155,100.00,250.00,150,150
443,tui,22,250.00,400.00,150,60
444,,1155,100.00,250.00,150,150
445,,1155,100.00,250.00,150,150
446,,1155,50.00,200.00,150,300
447,,1155,100.00,250.00,150,150
448,,1155,250.00,400.00,150,60
449,,1155,100.00,250.00,150,150
450,,1155,150.00,300.00,150,100
451,,1155,100.00,250.00,150,150
452,,1155,250.00,400.00,150,60
453,,1155,100.00,250.00,150,150
454,,1155,100.00,250.00,150,150
455,,1155,100.00,250.00,150,150
456,,1155,455.50,600.00,144.5,31.7233809001097695
457,,1155,110.00,250.00,140,127.2727272727272727
458,,1155,111.00,250.00,139,125.2252252252252252
459,,1155,124.00,250.00,126,101.6129032258064516
460,,1155,124.00,250.00,126,101.6129032258064516
461,,1155,125.00,250.00,125,100
462,,1155,125.00,250.00,125,100
463,,1155,125.00,250.00,125,100
464,,1155,125.00,250.00,125,100
465,,1155,125.00,250.00,125,100
466,,1155,125.00,250.00,125,100
467,,1155,125.00,250.00,125,100
468,,1155,125.00,250.00,125,100
469,,1155,125.00,250.00,125,100
470,,1155,125.00,250.00,125,100
471,,1155,125.00,250.00,125,100
472,,1155,125.00,250.00,125,100
473,,1155,125.00,250.00,125,100
474,,1155,125.00,250.00,125,100
475,,1155,125.00,250.00,125,100
476,,1155,125.00,250.00,125,100
477,,1155,125.00,250.00,125,100
478,,1155,125.00,250.00,125,100
479,,1155,125.00,250.00,125,100
480,,1155,125.00,250.00,125,100
481,,1155,125.00,250.00,125,100
482,,1155,125.00,250.00,125,100
483,,1155,125.00,250.00,125,100
484,,1155,125.00,250.00,125,100
485,,1155,125.00,250.00,125,100
486,,1155,125.00,250.00,125,100
487,,1155,125.00,250.00,125,100
488,,1155,125.00,250.00,125,100
489,,1155,125.00,250.00,125,100
490,,1155,125.00,250.00,125,100
491,,1155,125.00,250.00,125,100
492,,1155,125.00,250.00,125,100
493,,1155,125.00,250.00,125,100
494,,1155,125.00,250.00,125,100
495,,1155,125.00,250.00,125,100
496,,1155,125.00,250.00,125,100
497,,1155,125.00,250.00,125,100
498,,1155,125.00,250.00,125,100
499,,1155,125.00,250.00,125,100
500,,1155,125.00,250.00,125,100
501,,1155,125.00,250.00,125,100
502,,1155,125.00,250.00,125,100
503,,1155,125.00,250.00,125,100
504,,1155,125.00,250.00,125,100
505,,1155,125.00,250.00,125,100
506,,1155,125.00,250.00,125,100
507,,1155,125.00,250.00,125,100
508,,1155,125.00,250.00,125,100
509,,1155,125.00,250.00,125,100
510,,1155,125.00,250.00,125,100
511,,1155,125.00,250.00,125,100
512,,1155,125.00,250.00,125,100
513,,1155,125.00,250.00,125,100
514,,1155,125.00,250.00,125,100
515,tui,22,125.00,250.00,125,100
516,,1155,125.00,250.00,125,100
517,,1155,125.00,250.00,125,100
518,,1155,125.00,250.00,125,100
519,,1155,125.00,250.00,125,100
520,,1155,125.00,250.00,125,100
521,,1155,125.00,250.00,125,100
522,,1155,125.00,250.00,125,100
523,,1155,125.00,250.00,125,100
524,,1155,125.00,250.00,125,100
525,,1155,125.00,250.00,125,100
526,,1155,125.00,250.00,125,100
527,,1155,125.00,250.00,125,100
528,,1155,125.00,250.00,125,100
529,,1155,125.00,250.00,125,100
530,,1155,125.00,250.00,125,100
531,,1155,125.00,250.00,125,100
532,,1155,125.00,250.00,125,100
533,,1155,125.00,250.00,125,100
534,,1155,125.00,250.00,125,100
535,,1155,125.00,250.00,125,100
536,,1155,125.00,250.00,125,100
537,,1155,125.00,250.00,125,100
538,,1155,125.00,250.00,125,100
539,,1155,125.00,250.00,125,100
540,,1155,125.00,250.00,125,100
541,,1155,125.00,250.00,125,100
542,,1155,125.00,250.00,125,100
543,,1155,125.00,250.00,125,100
544,,1155,125.00,250.00,125,100
545,,1155,125.00,250.00,125,100
546,,1155,125.00,250.00,125,100
547,,1155,125.00,250.00,125,100
548,,1155,125.00,250.00,125,100
549,,1155,125.00,250.00,125,100
550,,1155,125.00,250.00,125,100
551,,1155,125.00,250.00,125,100
552,,1155,125.00,250.00,125,100
553,,1155,125.00,250.00,125,100
554,,1155,125.00,250.00,125,100
555,,1155,125.00,250.00,125,100
556,,1155,125.00,250.00,125,100
557,,1155,125.00,250.00,125,100
558,,1155,125.00,250.00,125,100
559,,1155,125.00,250.00,125,100
560,,1155,125.00,250.00,125,100
561,,1155,125.00,250.00,125,100
562,,1155,125.00,250.00,125,100
563,,1155,125.00,250.00,125,100
564,,1155,125.00,250.00,125,100
565,,1155,125.00,250.00,125,100
566,,1155,125.00,250.00,125,100
567,,1155,125.00,250.00,125,100
568,,1155,125.00,250.00,125,100
569,,1155,125.00,250.00,125,100
570,,1155,125.00,250.00,125,100
571,,1155,125.00,250.00,125,100
572,,1155,125.00,250.00,125,100
573,,1155,125.00,250.00,125,100
574,,1155,125.00,250.00,125,100
575,,1155,125.00,250.00,125,100
576,,1155,125.00,250.00,125,100
577,,1155,125.00,250.00,125,100
578,,1155,125.00,250.00,125,100
579,,1155,125.00,250.00,125,100
580,,1155,125.00,250.00,125,100
581,,1155,125.00,250.00,125,100
582,,1155,125.00,250.00,125,100
583,,1155,125.00,250.00,125,100
584,,1155,125.00,250.00,125,100
585,,1155,125.00,250.00,125,100
586,,1155,125.00,250.00,125,100
587,,1155,125.00,250.00,125,100
588,,1155,125.00,250.00,125,100
589,,1155,125.00,250.00,125,100
590,,1155,125.00,250.00,125,100
591,,1155,125.00,250.00,125,100
592,,1155,125.00,250.00,125,100
593,,1155,125.00,250.00,125,100
594,,1155,125.00,250.00,125,100
595,,1155,125.00,250.00,125,100
596,,1155,125.00,250.00,125,100
597,,1155,125.00,250.00,125,100
598,,1155,125.00,250.00,125,100
599,,1155,125.00,250.00,125,100
600,,1155,125.00,250.00,125,100
601,,1155,125.00,250.00,125,100
602,,1155,125.00,250.00,125,100
603,,1155,125.00,250.00,125,100
604,,1155,125.00,250.00,125,100
605,,1155,125.00,250.00,125,100
606,,1155,125.00,250.00,125,100
607,,1155,125.00,250.00,125,100
608,,1155,125.00,250.00,125,100
609,,1155,125.00,250.00,125,100
610,,1155,125.00,250.00,125,100
611,,1155,125.00,250.00,125,100
612,,1155,125.00,250.00,125,100
613,,1155,125.00,250.00,125,100
614,,1155,125.00,250.00,125,100
615,,1155,125.00,250.00,125,100
616,,1155,125.00,250.00,125,100
617,,1155,125.00,250.00,125,100
618,,1155,125.00,250.00,125,100
619,,1155,125.00,250.00,125,100
620,,1155,125.00,250.00,125,100
621,,1155,125.00,250.00,125,100
622,,1155,125.00,250.00,125,100
623,,1155,125.00,250.00,125,100
624,,1155,125.00,250.00,125,100
625,,1155,125.00,250.00,125,100
626,,1155,125.00,250.00,125,100
627,,1155,125.00,250.00,125,100
628,,1155,125.00,250.00,125,100
629,,1155,125.00,250.00,125,100
630,,1155,125.00,250.00,125,100
631,,1155,125.00,250.00,125,100
632,,1155,125.00,250.00,125,100
633,,1155,125.00,250.00,125,100
634,,1155,125.00,250.00,125,100
635,,1155,125.00,250.00,125,100
636,,1155,125.00,250.00,125,100
637,,1155,125.00,250.00,125,100
638,,1155,125.00,250.00,125,100
639,,1155,125.00,250.00,125,100
640,,1155,125.00,250.00,125,100
641,,1155,125.00,250.00,125,100
642,,1155,125.00,250.00,125,100
643,,1155,125.00,250.00,125,100
644,,1155,125.00,250.00,125,100
645,,1155,125.00,250.00,125,100
646,,1155,125.00,250.00,125,100
647,,1155,125.00,250.00,125,100
648,,1155,125.00,250.00,125,100
649,,1155,125.00,250.00,125,100
650,,1155,125.00,250.00,125,100
651,,1155,125.00,250.00,125,100
652,,1155,125.00,250.00,125,100
653,,1155,125.00,250.00,125,100
654,,1155,125.00,250.00,125,100
655,,1155,125.00,250.00,125,100
656,,1155,125.00,250.00,125,100
657,,1155,125.00,250.00,125,100
658,,1155,125.00,250.00,125,100
659,,1155,125.00,250.00,125,100
660,,1155,125.00,250.00,125,100
661,,1155,125.00,250.00,125,100
662,,1155,125.00,250.00,125,100
663,,1155,125.00,250.00,125,100
664,,1155,125.00,250.00,125,100
665,,1155,125.00,250.00,125,100
666,,1155,125.00,250.00,125,100
667,,1155,125.00,250.00,125,100
668,,1155,125.00,250.00,125,100
669,,1155,125.00,250.00,125,100
670,,1155,125.00,250.00,125,100
671,,1155,125.00,250.00,125,100
672,,1155,125.00,250.00,125,100
673,,1155,125.00,250.00,125,100
674,,1155,125.00,250.00,125,100
675,,1155,125.00,250.00,125,100
676,,1155,125.00,250.00,125,100
677,,1155,125.00,250.00,125,100
678,,1155,125.00,250.00,125,100
679,,1155,125.00,250.00,125,100
680,,1155,125.00,250.00,125,100
681,,1155,125.00,250.00,125,100
682,,1155,125.00,250.00,125,100
683,,1155,125.00,250.00,125,100
684,,1155,125.00,250.00,125,100
685,,1155,125.00,250.00,125,100
686,,1155,125.00,250.00,125,100
687,,1155,125.00,250.00,125,100
688,,1155,125.00,250.00,125,100
689,,1155,125.00,250.00,125,100
690,,1155,125.00,250.00,125,100
691,,1155,125.00,250.00,125,100
692,,1155,125.00,250.00,125,100
693,,1155,125.00,250.00,125,100
694,,1155,125.00,250.00,125,100
695,,1155,125.00,250.00,125,100
696,,1155,125.00,250.00,125,100
697,,1155,125.00,250.00,125,100
698,,1155,125.00,250.00,125,100
699,,1155,125.00,250.00,125,100
700,,1155,125.00,250.00,125,100
701,,1155,125.00,250.00,125,100
702,,1155,125.00,250.00,125,100
703,,1155,125.00,250.00,125,100
704,,1155,125.00,250.00,125,100
705,,1155,125.00,250.00,125,100
706,,1155,125.00,250.00,125,100
707,,1155,125.00,250.00,125,100
708,,1155,125.00,250.00,125,100
709,,1155,125.00,250.00,125,100
710,,1155,125.00,250.00,125,100
711,,1155,125.00,250.00,125,100
712,,1155,125.00,250.00,125,100
713,,1155,125.00,250.00,125,100
714,,1155,125.00,250.00,125,100
715,,1155,125.00,250.00,125,100
716,,1155,125.00,250.00,125,100
717,,1155,125.00,250.00,125,100
718,,1155,125.00,250.00,125,100
719,,1155,125.00,250.00,125,100
720,,1155,125.00,250.00,125,100
721,,1155,125.00,250.00,125,100
722,,1155,125.00,250.00,125,100
723,,1155,125.00,250.00,125,100
724,,1155,125.00,250.00,125,100
725,,1155,125.00,250.00,125,100
726,,1155,125.00,250.00,125,100
727,,1155,125.00,250.00,125,100
728,,1155,125.00,250.00,125,100
729,,1155,125.00,250.00,125,100
730,,1155,125.00,250.00,125,100
731,,1155,125.00,250.00,125,100
732,,1155,125.00,250.00,125,100
733,,1155,125.00,250.00,125,100
734,,1155,125.00,250.00,125,100
735,,1155,125.00,250.00,125,100
736,,1155,125.00,250.00,125,100
737,,1155,125.00,250.00,125,100
738,,1155,125.00,250.00,125,100
739,,1155,125.00,250.00,125,100
740,,1155,125.00,250.00,125,100
741,,1155,125.00,250.00,125,100
742,,1155,125.00,250.00,125,100
743,,1155,125.00,250.00,125,100
744,,1155,125.00,250.00,125,100
745,,1155,125.00,250.00,125,100
746,,1155,125.00,250.00,125,100
747,,1155,125.00,250.00,125,100
748,,1155,125.00,250.00,125,100
749,,1155,125.00,250.00,125,100
