#,partner,liczba,wyplacone,kwota_rekompensaty_oryginalna,roznica,procent
1,tui,22,600.00,3000.00,2400,400
2,,1155,600.00,3000.00,2400,400
3,,1155,300.00,2400.00,2100,700
4,,1155,400.00,2000.00,1600,400
5,kiribati,13,600.00,1800.00,1200,200
6,,1155,600.00,1800.00,1200,200
7,,1155,600.00,1800.00,1200,200
8,,1155,1200.00,2400.00,1200,100
9,,1155,600.00,1800.00,1200,200
10,,1155,750.00,1800.00,1050,140
11,tui,22,300.00,1200.00,900,300
12,tui,22,100.00,1000.00,900,900
13,,1155,1200.00,2000.00,800,66.6666666666666667
14,,1155,1200.00,2000.00,800,66.6666666666666667
15,,1155,1500.00,2250.00,750,50
16,,1155,455.00,1200.00,745,163.7362637362637363
17,,1155,478.00,1200.00,722,151.0460251046025105
18,,1155,500.00,1200.00,700,140
19,,1155,500.00,1200.00,700,140
20,,1155,500.00,1200.00,700,140
21,,1155,100.00,750.00,650,650
22,,1155,600.00,1200.00,600,100
23,,1155,600.00,1200.00,600,100
24,,1155,600.00,1200.00,600,100
25,,1155,600.00,1200.00,600,100
26,kiribati,13,600.00,1200.00,600,100
27,,1155,600.00,1200.00,600,100
28,,1155,300.00,900.00,600,200
29,,1155,200.00,800.00,600,300
30,kiribati,13,600.00,1200.00,600,100
31,,1155,2400.00,3000.00,600,25
32,,1155,600.00,1200.00,600,100
33,,1155,1800.00,2400.00,600,33.3333333333333333
34,,1155,600.00,1200.00,600,100
35,,1155,3000.00,3600.00,600,20
36,kiribati,13,600.00,1200.00,600,100
37,,1155,600.00,1200.00,600,100
38,,1155,600.00,1200.00,600,100
39,kiribati,13,600.00,1200.00,600,100
40,kiribati,13,600.00,1200.00,600,100
41,,1155,600.00,1200.00,600,100
42,,1155,600.00,1200.00,600,100
43,,1155,200.00,750.00,550,275
44,,1155,200.00,750.00,550,275
45,,1155,700.00,1200.00,500,71.4285714285714286
46,,1155,250.00,750.00,500,200
47,kiribati,13,100.00,600.00,500,500
48,,1155,700.00,1200.00,500,71.4285714285714286
49,,1155,250.00,750.00,500,200
50,,1155,1.00,500.00,499,49900
51,,1155,260.00,750.00,490,188.4615384615384615
52,,1155,745.00,1200.00,455,61.0738255033557047
53,,1155,300.00,750.00,450,150
54,,1155,150.00,600.00,450,300
55,,1155,750.00,1200.00,450,60
56,,1155,356.00,800.00,444,124.7191011235955056
57,,1155,400.00,800.00,400,100
58,,1155,100.00,500.00,400,400
59,kiribati,13,200.00,600.00,400,200
60,,1155,200.00,600.00,400,200
61,,1155,200.00,600.00,400,200
62,,1155,200.00,600.00,400,200
63,,1155,200.00,600.00,400,200
64,,1155,400.00,800.00,400,100
65,,1155,200.00,600.00,400,200
66,,1155,200.00,600.00,400,200
67,,1155,200.00,600.00,400,200
68,,1155,400.00,800.00,400,100
69,tui,22,200.00,600.00,400,200
70,,1155,200.00,600.00,400,200
71,,1155,200.00,600.00,400,200
72,,1155,400.00,800.00,400,100
73,,1155,400.00,800.00,400,100
74,kiribati,13,200.00,600.00,400,200
75,,1155,200.00,600.00,400,200
76,,1155,200.00,600.00,400,200
77,tui,22,400.00,800.00,400,100
78,,1155,400.00,800.00,400,100
79,kiribati,13,200.00,600.00,400,200
80,,1155,1200.00,1600.00,400,33.3333333333333333
81,,1155,210.00,600.00,390,185.7142857142857143
82,,1155,222.20,600.00,377.8,170.027002700270027
83,,1155,230.00,600.00,370,160.8695652173913043
84,,1155,136.00,500.00,364,267.6470588235294118
85,,1155,150.00,500.00,350,233.3333333333333333
86,,1155,250.00,600.00,350,140
87,,1155,250.00,600.00,350,140
88,,1155,250.00,600.00,350,140
89,,1155,250.00,600.00,350,140
90,,1155,250.00,600.00,350,140
91,,1155,250.00,600.00,350,140
92,,1155,256.00,600.00,344,134.375
93,,1155,160.00,500.00,340,212.5
94,,1155,50.00,375.00,325,650
95,,1155,300.00,600.00,300,100
96,,1155,300.00,600.00,300,100
97,,1155,200.00,500.00,300,150
98,,1155,300.00,600.00,300,100
99,,1155,450.00,750.00,300,66.6666666666666667
100,,1155,100.00,400.00,300,300
101,,1155,300.00,600.00,300,100
102,,1155,300.00,600.00,300,100
103,,1155,200.00,500.00,300,150
104,,1155,300.00,600.00,300,100
105,,1155,300.00,600.00,300,100
106,,1155,300.00,600.00,300,100
107,,1155,300.00,600.00,300,100
108,,1155,300.00,600.00,300,100
109,,1155,300.00,600.00,300,100
110,,1155,900.00,1200.00,300,33.3333333333333333
111,,1155,300.00,600.00,300,100
112,,1155,200.00,500.00,300,150
113,,1155,300.00,600.00,300,100
114,,1155,300.00,600.00,300,100
115,,1155,300.00,600.00,300,100
116,,1155,300.00,600.00,300,100
117,,1155,300.00,600.00,300,100
118,,1155,300.00,600.00,300,100
119,,1155,300.00,600.00,300,100
120,,1155,300.00,600.00,300,100
121,,1155,300.25,600.00,299.75,99.8334721065778518
122,,1155,1.00,300.00,299,29900
123,,1155,230.00,500.00,270,117.391304347826087
124,,1155,245.28,500.00,254.72,103.8486627527723418
125,,1155,250.00,500.00,250,100
126,,1155,250.00,500.00,250,100
127,,1155,250.00,500.00,250,100
128,,1155,250.00,500.00,250,100
129,,1155,250.00,500.00,250,100
130,,1155,250.00,500.00,250,100
131,,1155,250.00,500.00,250,100
132,,1155,250.00,500.00,250,100
133,,1155,250.00,500.00,250,100
134,,1155,250.00,500.00,250,100
135,,1155,250.00,500.00,250,100
136,,1155,250.00,500.00,250,100
137,,1155,250.00,500.00,250,100
138,,1155,250.00,500.00,250,100
139,,1155,250.00,500.00,250,100
140,,1155,250.00,500.00,250,100
141,,1155,250.00,500.00,250,100
142,tui,22,250.00,500.00,250,100
143,,1155,250.00,500.00,250,100
144,,1155,250.00,500.00,250,100
145,,1155,500.00,750.00,250,50
146,,1155,250.00,500.00,250,100
147,,1155,250.00,500.00,250,100
148,,1155,250.00,500.00,250,100
149,tui,22,250.00,500.00,250,100
150,,1155,20.00,270.00,250,1250
151,tui,22,250.00,500.00,250,100
152,,1155,250.00,500.00,250,100
153,,1155,250.00,500.00,250,100
154,,1155,750.00,1000.00,250,33.3333333333333333
155,,1155,750.00,1000.00,250,33.3333333333333333
156,,1155,250.00,500.00,250,100
157,,1155,250.00,500.00,250,100
158,,1155,250.00,500.00,250,100
159,,1155,250.00,500.00,250,100
160,,1155,350.00,600.00,250,71.4285714285714286
161,,1155,250.00,500.00,250,100
162,,1155,250.00,500.00,250,100
163,,1155,250.00,500.00,250,100
164,,1155,250.00,500.00,250,100
165,,1155,250.00,500.00,250,100
166,,1155,250.00,500.00,250,100
167,,1155,250.00,500.00,250,100
168,,1155,250.00,500.00,250,100
169,,1155,250.00,500.00,250,100
170,,1155,250.00,500.00,250,100
171,,1155,250.00,500.00,250,100
172,,1155,250.00,500.00,250,100
173,,1155,250.00,500.00,250,100
174,,1155,250.00,500.00,250,100
175,,1155,250.00,500.00,250,100
176,,1155,250.00,500.00,250,100
177,,1155,250.00,500.00,250,100
178,,1155,250.00,500.00,250,100
179,,1155,250.00,500.00,250,100
180,,1155,250.00,500.00,250,100
181,,1155,250.00,500.00,250,100
182,,1155,250.00,500.00,250,100
183,,1155,250.00,500.00,250,100
184,,1155,250.00,500.00,250,100
185,,1155,250.00,500.00,250,100
186,,1155,250.00,500.00,250,100
187,,1155,250.00,500.00,250,100
188,,1155,250.00,500.00,250,100
189,,1155,250.00,500.00,250,100
190,,1155,250.00,500.00,250,100
191,,1155,250.00,500.00,250,100
192,,1155,250.00,500.00,250,100
193,,1155,250.00,500.00,250,100
194,,1155,250.00,500.00,250,100
195,,1155,250.00,500.00,250,100
196,,1155,250.00,500.00,250,100
197,,1155,250.00,500.00,250,100
198,,1155,250.00,500.00,250,100
199,,1155,250.00,500.00,250,100
200,,1155,250.00,500.00,250,100
201,,1155,250.00,500.00,250,100
202,,1155,250.00,500.00,250,100
203,,1155,250.00,500.00,250,100
204,,1155,250.00,500.00,250,100
205,,1155,250.00,500.00,250,100
206,,1155,250.00,500.00,250,100
207,,1155,250.00,500.00,250,100
208,,1155,250.00,500.00,250,100
209,,1155,250.00,500.00,250,100
210,,1155,250.00,500.00,250,100
211,,1155,250.00,500.00,250,100
212,,1155,250.00,500.00,250,100
213,,1155,250.00,500.00,250,100
214,,1155,250.00,500.00,250,100
215,,1155,250.00,500.00,250,100
216,,1155,250.00,500.00,250,100
217,,1155,250.00,500.00,250,100
218,,1155,250.00,500.00,250,100
219,,1155,250.00,500.00,250,100
220,,1155,250.00,500.00,250,100
221,,1155,250.00,500.00,250,100
222,,1155,250.00,500.00,250,100
223,,1155,250.00,500.00,250,100
224,,1155,250.00,500.00,250,100
225,,1155,250.00,500.00,250,100
226,,1155,250.00,500.00,250,100
227,,1155,250.00,500.00,250,100
228,,1155,250.00,500.00,250,100
229,,1155,250.00,500.00,250,100
230,,1155,250.00,500.00,250,100
231,,1155,250.00,500.00,250,100
232,,1155,250.00,500.00,250,100
233,,1155,250.00,500.00,250,100
234,,1155,250.00,500.00,250,100
