partner,liczba,min,max,sum,round,mediana,p25,p75,p99
kiribati,13,100,1200,6400,492,500,400,600,1200
tui,22,25,2400,7675.5,349,200,100,250,2400
,1155,0.01,2400,219007,190,125,125,250,2100
