partner,liczba,wyplacone,kwota_rekompensaty_oryginalna,roznica,procent
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,350.00,600.00,250,71.4285714285714286
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,250.00,500.00,250,100
,1155,350.25,600.00,249.75,71.3062098501070664
,1155,1.00,250.00,249,24900
,1155,10.00,250.00,240,2400
,1155,370.00,600.00,230,62.1621621621621622
,1155,300.00,500.00,200,66.6666666666666667
,1155,400.00,600.00,200,50
,1155,600.00,800.00,200,33.3333333333333333
tui,22,200.00,400.00,200,100
,1155,100.00,300.00,200,200
,1155,400.00,600.00,200,50
kiribati,13,400.00,600.00,200,50
,1155,50.00,250.00,200,400
,1155,400.00,600.00,200,50
,1155,50.00,250.00,200,400
,1155,400.00,600.00,200,50
,1155,50.00,250.00,200,400
tui,22,200.00,400.00,200,100
kiribati,13,200.00,400.00,200,100
,1155,400.00,600.00,200,50
,1155,400.00,600.00,200,50
,1155,600.00,800.00,200,33.3333333333333333
,1155,1000.00,1200.00,200,20
tui,22,209.50,400.00,190.5,90.9307875894988067
,1155,120.00,300.00,180,150
,1155,75.00,250.00,175,233.3333333333333333
,1155,125.00,300.00,175,140
,1155,75.00,250.00,175,233.3333333333333333
,1155,90.00,250.00,160,177.7777777777777778
,1155,350.00,500.00,150,42.8571428571428571
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,450.00,600.00,150,33.3333333333333333
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
tui,22,250.00,400.00,150,60
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,50.00,200.00,150,300
,1155,100.00,250.00,150,150
,1155,250.00,400.00,150,60
,1155,100.00,250.00,150,150
,1155,150.00,300.00,150,100
,1155,100.00,250.00,150,150
,1155,250.00,400.00,150,60
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,100.00,250.00,150,150
,1155,455.50,600.00,144.5,31.7233809001097695
,1155,110.00,250.00,140,127.2727272727272727
,1155,111.00,250.00,139,125.2252252252252252
,1155,124.00,250.00,126,101.6129032258064516
,1155,124.00,250.00,126,101.6129032258064516
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
tui,22,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
,1155,125.00,250.00,125,100
