#,wartosc_kwwart_kwota_rekomp,wartosc_kwwart_kwota_rekomp_oryg,wartosc_kwart_roznica_kwota_rekomp_oryg_a_wypl,rzad_kwantylu
1,250,250,0,0.25
2,300,300,0,0.5
3,300,300,0,0.75
4,600,600,0,0.9
5,800,800,0,0.95
6,1800,1800,150,0.99
