#,id,data_utworzenia,typ_wniosku,powod_operatora,opoznienie,nr_referencyjny,jezyk,kanal,partner,kod_kraju,stan_wniosku,typ_podrozy,zrodlo_polecenia,kwota_rekompensaty_oryginalna,kwota_rekompensaty,liczba_pasazerow,oplata_za_usluge_procent,oplata_za_usluge_prawnicza_procent,roznica_rek,rek_per1pas
1,2005703,2016-05-12 11:05:52.513072,anulowany,brak powodu,nie dotarlem na miejsce,234C37E9,en,bezposredni,,IE,wyplacony,,,1200.00,745.00,2,25,25,455,227.5
2,2005706,2016-05-12 13:03:11.120958,opozniony,brak powodu,nie dotarlem na miejsce,3B36BCB9,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300,300
3,2005690,2016-05-12 09:45:33.764167,anulowany,pogoda,nie dotarlem na miejsce,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,90.00,1,25,25,35,35
4,2001113,2016-01-22 08:38:58.924842,opozniony,brak powodu,> 3h,3E336734,en,bezposredni,,PL,wyplacony,,,250.00,100.00,1,25,25,150,150
5,2000347,2015-12-21 09:34:10.408573,opozniony,brak powodu,> 3h,56ACCAA3,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400,400
6,2006187,2016-05-19 14:01:15.780020,opozniony,pogoda,> 4h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
7,2001167,2016-01-22 09:34:18.332186,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,50.00,1,25,25,75,75
8,35905,2015-03-16 19:23:09.526643,anulowany,strajk,> 4h,23BAB8ED,da,bezposredni,,DK,wyplacony,,,2400.00,300.00,4,25,25,2100,525
9,2000264,2015-12-16 07:48:31.852192,opozniony,brak powodu,> 3h,FB469D7E,en,bezposredni,,PL,wyplacony,,,1200.00,600.00,2,25,25,600,300
10,54254,2015-11-11 16:05:37.152757,opozniony,brak powodu,> 3h,F285A561,it,bezposredni,,IT,wyplacony,prywatny,,250.00,125.00,1,25,25,125,125
11,2000088,2015-12-03 08:20:40.156230,opozniony,brak powodu,> 3h,1F32AA4C,en,bezposredni,,CH,wyplacony,biznesowy,,600.00,200.00,1,25,25,400,400
12,2000072,2015-12-02 11:33:34.592779,anulowany,brak powodu,> 3h,A89CF447,it,bezposredni,,PL,wyplacony,biznesowy,fb / twitter,250.00,125.00,1,25,25,125,125
13,53830,2015-11-08 11:05:36.770619,opozniony,brak powodu,> 3h,BC4C5C0F,pt,bezposredni,,PT,wyplacony,,,200.00,100.00,1,25,25,100,100
14,2001252,2016-01-25 11:32:27.916844,opozniony,brak powodu,> 3h,273CE13A,en,bezposredni,,PL,wyplacony,,,250.00,200.00,1,25,25,50,50
