#,id,data_utworzenia,typ_wniosku,powod_operatora,opoznienie,nr_referencyjny,jezyk,kanal,partner,kod_kraju,stan_wniosku,typ_podrozy,zrodlo_polecenia,kwota_rekompensaty_oryginalna,kwota_rekompensaty,liczba_pasazerow,oplata_za_usluge_procent,oplata_za_usluge_prawnicza_procent,roznica_rek,rek_per1pas
15,2000506,2016-01-11 15:32:41.021042,opozniony,brak powodu,> 3h,FB469D7E,en,bezposredni,,PL,wyplacony,,,1200.00,600.00,2,25,25,600,300
16,2001298,2016-01-26 08:45:45.064259,opozniony,brak powodu,> 3h,A30ED01B,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400,400
17,2000899,2016-01-20 14:07:47.880787,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,200.00,1,25,25,50,50
18,2001114,2016-01-22 08:40:22.410901,opozniony,brak powodu,> 3h,3E336734,en,bezposredni,,PL,wyplacony,,,250.00,150.00,1,25,25,100,100
19,2001503,2016-01-29 10:15:38.796132,anulowany,brak powodu,> 4h,A30ED01B,en,bezposredni,,PL,wyplacony,,,125.00,99.00,1,25,25,26,26
20,2001504,2016-01-29 10:18:02.351147,anulowany,brak powodu,> 4h,A30ED01B,en,bezposredni,,PL,wyplacony,,,125.00,26.00,1,25,25,99,99
21,2000349,2015-12-21 09:37:55.597198,opozniony,brak powodu,> 3h,F7F92681,en,bezposredni,,PL,wyplacony,,,250.00,125.00,1,25,25,125,125
22,2001517,2016-01-29 10:45:53.530608,opozniony,brak powodu,> 3h,F5954DCF,en,bezposredni,,PL,wyplacony,,,250.00,200.00,1,25,25,50,50
23,2001175,2016-01-22 10:06:02.211744,opozniony,brak powodu,> 3h,897C8FDE,en,bezposredni,,PL,wyplacony,,,250.00,200.00,1,25,25,50,50
24,47454,2015-09-10 09:46:39.649317,opozniony,brak powodu,> 3h,1AFA36BF,it,bezposredni,,IT,wyplacony,prywatny,,600.00,250.00,1,25,25,350,350
25,2001244,2016-01-25 07:57:42.128207,opozniony,strajk,> 3h,273CE13A,en,bezposredni,,PL,wyplacony,,,600.00,370.00,1,25,25,230,230
26,2001243,2016-01-25 07:39:19.541163,opozniony,strajk,> 3h,273CE13A,en,bezposredni,,PL,wyplacony,,,600.00,230.00,1,25,25,370,370
27,2000604,2016-01-14 12:00:39.567889,opozniony,brak powodu,> 3h,C1BCD9BD,en,bezposredni,,TR,wyplacony,biznesowy,przyjaciele,270.00,20.00,1,25,25,250,250
28,35973,2015-03-18 20:22:29.805302,opozniony,brak powodu,> 3h,8FFB5AFA,en,bezposredni,,US,wyplacony,,,250.00,187.00,1,25,25,63,63
29,51441,2015-10-21 11:59:21.343825,opozniony,brak powodu,> 3h,6980D730,fi,bezposredni,,FI,wyplacony,biznesowy,fb / twitter,400.00,250.00,1,25,25,150,150
30,2001037,2016-01-22 07:50:34.915321,anulowany,brak powodu,> 4h,A30ED01B,en,bezposredni,,PL,wyplacony,,,400.00,0.00,2,25,25,400,200
31,49967,2015-10-01 09:22:23.181269,opozniony,brak powodu,> 3h,C2AAF94A,en,bezposredni,,JP,wyplacony,biznesowy,wyszukiwarki,1200.00,500.00,2,25,25,700,350
32,30118,2015-01-07 15:28:26.730512,anulowany,strajk,> 4h,58FCA2B8,en,bezposredni,,ZZ,wyplacony,,,1200.00,900.00,2,25,25,300,150
33,36901,2015-04-07 12:25:30.901630,anulowany,strajk,> 4h,5246731C,sv,bezposredni,,SE,wyplacony,,,500.00,250.00,2,25,25,250,125
34,2001211,2016-01-22 15:47:45.323752,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,75.00,1,25,25,50,50
35,36067,2015-03-23 11:33:07.927046,opozniony,strajk,> 3h,370654A9,da,bezposredni,,DK,wyplacony,,,3600.00,3000.00,6,25,25,600,100
36,47393,2015-09-09 15:50:06.780274,opozniony,brak powodu,> 3h,66CEF9BD,nb,bezposredni,,NO,wyplacony,biznesowy,,800.00,400.00,2,25,25,400,200
37,43648,2015-08-03 09:02:53.717714,opozniony,strajk,> 3h,0CF4B7B9,es,bezposredni,,ES,wyplacony,,,500.00,250.00,2,25,25,250,125
38,40987,2015-07-06 21:01:49.816738,opozniony,brak powodu,> 3h,38AB98DA,en,bezposredni,,GB,wyplacony,,,500.00,250.00,2,25,25,250,125
39,40916,2015-07-06 09:15:17.529414,anulowany,strajk,> 3h,F7057520,es,bezposredni,,ES,wyplacony,,,800.00,400.00,2,25,25,400,200
40,44177,2015-08-07 19:34:14.734043,anulowany,brak powodu,> 4h,B551C6D2,da,bezposredni,,DK,wyplacony,,,1000.00,750.00,4,25,25,250,62.5
41,41202,2015-07-08 19:58:55.424065,przepelniony,brak powodu,> 3h,10428EBC,en,bezposredni,,US,wyplacony,,,1200.00,600.00,2,25,25,600,300
42,38751,2015-05-19 12:52:57.594487,opozniony,brak powodu,> 3h,882E9D17,pl,bezposredni,,PL,wyplacony,,,1600.00,1200.00,4,25,25,400,100
43,34633,2015-02-23 07:32:50.329449,anulowany,brak powodu,> 4h,0AE8E55F,pl,bezposredni,,PL,wyplacony,,,1000.00,750.00,4,25,25,250,62.5
44,2001246,2016-01-25 08:15:28.787571,opozniony,brak powodu,> 3h,897C8FDE,en,bezposredni,,PL,wyplacony,,,800.00,400.00,2,25,25,400,200
45,2001817,2016-02-07 23:02:48.309109,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,222.20,1,25,25,377.8,377.8
46,2001966,2016-02-10 11:37:50.860794,opozniony,brak powodu,> 3h,897C8FDE,en,bezposredni,,PL,wyplacony,,,500.00,400.00,2,25,25,100,50
47,2001987,2016-02-11 07:12:59.934464,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,125.00,24.25,1,25,25,100.75,100.75
48,2001967,2016-02-10 12:12:49.540915,anulowany,brak powodu,> 4h,9B878FD9,en,bezposredni,,PL,wyplacony,,,300.00,200.00,1,25,25,100,100
49,2002028,2016-02-12 07:30:33.482533,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,600.00,455.50,1,25,25,144.5,144.5
50,2002024,2016-02-11 23:02:49.491745,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,100.00,1,25,25,25,25
51,2002025,2016-02-11 23:03:06.880312,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400,400
52,2002030,2016-02-12 08:41:23.691996,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,256.00,1,25,25,344,344
53,2002027,2016-02-11 23:03:41.680978,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,150.00,1,25,25,100,100
54,2002029,2016-02-12 08:26:40.718992,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,25.00,1,25,25,100,100
55,2002077,2016-02-12 11:50:58.994827,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,75.00,1,25,25,175,175
56,2002054,2016-02-12 11:08:47.683101,opozniony,strajk,> 3h,423236C9,en,bezposredni,,BG,wyplacony,,,600.00,300.00,1,25,25,300,300
57,2002040,2016-02-12 10:15:27.454884,opozniony,brak powodu,> 3h,897C8FDE,en,bezposredni,,PL,wyplacony,,,300.00,150.00,1,25,25,150,150
58,2002053,2016-02-12 11:06:58.514879,opozniony,brak powodu,> 3h,A30ED01B,en,bezposredni,,PL,wyplacony,,,600.00,476.50,1,25,25,123.5,123.5
59,2002067,2016-02-12 11:27:25.323786,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,75.00,1,25,25,175,175
60,2002055,2016-02-12 11:10:33.147605,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,600.00,150.00,1,25,25,450,450
61,2002139,2016-02-14 23:02:47.668254,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,400.00,1,25,25,200,200
62,2002056,2016-02-12 11:12:30.614178,anulowany,brak powodu,> 4h,897C8FDE,en,bezposredni,,PL,wyplacony,,,600.00,350.25,1,25,25,249.75,249.75
63,2002154,2016-02-15 08:24:12.663456,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,300.00,120.00,1,25,25,180,180
64,2002161,2016-02-15 10:06:29.656225,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,300.00,125.00,1,25,25,175,175
65,2002187,2016-02-15 13:08:56.985480,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,1,25,25,125,125
66,2002186,2016-02-15 13:08:40.839972,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400,400
67,2002188,2016-02-15 13:43:03.977161,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,300.25,1,25,25,299.75,299.75
68,2002184,2016-02-15 13:08:22.020360,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,210.00,1,25,25,390,390
69,2002182,2016-02-15 13:08:03.829516,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,1,25,25,125,125
70,2002201,2016-02-15 14:01:41.371259,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,48.01,1,25,25,76.99,76.99
71,2002257,2016-02-15 23:03:54.642241,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,10.00,1,25,25,240,240
72,2002258,2016-02-16 07:13:21.238009,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,124.00,1,25,25,126,126
73,2002270,2016-02-16 07:25:13.139286,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400,400
74,2002267,2016-02-16 07:15:08.508191,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400,400
75,2002264,2016-02-16 07:14:47.448966,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,200.00,1,25,25,400,400
76,2002262,2016-02-16 07:14:22.751864,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,200.00,2,25,25,300,150
77,2002260,2016-02-16 07:13:57.762779,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,50.00,1,25,25,75,75
78,2002272,2016-02-16 08:15:50.976488,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,190.00,1,25,25,60,60
79,2002271,2016-02-16 08:03:02.333621,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,124.00,1,25,25,126,126
80,2002308,2016-02-16 10:56:20.848244,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,150.00,1,25,25,100,100
81,2002422,2016-02-17 13:05:06.438076,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150,150
82,2002447,2016-02-17 13:44:53.600684,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150,150
83,2002026,2016-02-11 23:03:23.338702,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,300.00,200.00,1,25,25,100,100
84,2003510,2016-03-14 08:02:54.065576,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,50.00,1,25,25,200,200
85,2003506,2016-03-13 23:07:28.695437,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,100.00,1,25,25,150,150
86,2003718,2016-03-17 10:30:51.240198,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,750.00,200.00,3,25,25,550,183.3333333333333333
87,2004010,2016-03-23 23:09:39.280442,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,150.00,1,25,25,100,100
88,2004033,2016-03-24 11:53:38.852007,opozniony,brak powodu,nie dotarlem na miejsce,3859D323,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400,400
89,2002545,2016-02-18 12:27:46.143893,opozniony,brak powodu,> 3h,F4055F08,en,bezposredni,,PL,wyplacony,,,1200.00,1000.00,2,25,25,200,100
90,2004084,2016-03-28 22:07:48.991174,opozniony,pogoda,nie dotarlem na miejsce,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,200.00,1,25,25,50,50
91,2004085,2016-03-28 22:08:02.791751,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,75.00,1,25,25,50,50
92,2004088,2016-03-29 06:30:58.100251,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,125.00,50.00,1,25,25,75,75
93,2004083,2016-03-28 22:07:34.464314,anulowany,pogoda,nie dotarlem na miejsce,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,200.00,1,25,25,50,50
94,2004154,2016-03-30 22:09:01.708817,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,500.00,1,25,25,100,100
95,2004371,2016-04-05 22:09:25.670962,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,500.00,1,25,25,100,100
96,2004360,2016-04-05 22:02:01.256167,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
97,2004374,2016-04-06 06:54:00.439026,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
98,2004303,2016-04-04 22:08:58.577565,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,ie,wyplacony,,,125.00,75.00,1,25,25,50,50
99,2004349,2016-04-05 10:15:47.155316,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,ie,wyplacony,,,125.00,50.00,1,25,25,75,75
100,2004372,2016-04-05 22:09:42.040978,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,600.00,550.00,1,25,25,50,50
101,2004370,2016-04-05 22:09:10.820272,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,225.00,1,25,25,25,25
102,2004489,2016-04-11 09:55:33.110405,opozniony,strajk,nie dotarlem na miejsce,BB813C39,en,bezposredni,,PL,wyplacony,biznesowy,,500.00,390.00,2,25,25,110,55
103,2005089,2016-04-28 10:11:36.998643,opozniony,brak powodu,nie dotarlem na miejsce,004942B8,en,bezposredni,,PL,wyplacony,,,3000.00,600.00,5,25,25,2400,480
104,2005107,2016-04-28 22:04:52.527492,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,1200.00,1150.00,2,25,25,50,25
105,2005091,2016-04-28 10:22:56.539112,opozniony,brak powodu,nie dotarlem na miejsce,004942B8,en,bezposredni,,PL,wyplacony,,,3000.00,2400.00,5,25,25,600,120
106,2005110,2016-04-28 22:06:55.367619,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
107,2005112,2016-04-29 07:03:03.963021,anulowany,pogoda,> 4h,74BE1697,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
108,2005111,2016-04-29 06:53:10.283609,anulowany,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
109,2005109,2016-04-28 22:05:28.995010,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,750.00,450.00,3,25,25,300,100
110,2005115,2016-04-29 07:21:06.653199,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,750.00,300.00,3,25,25,450,150
111,2005116,2016-04-29 07:39:30.817481,anulowany,pogoda,> 4h,74BE1697,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
112,2005105,2016-04-28 22:04:15.782149,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,2,25,25,125,62.5
113,2005119,2016-04-29 08:33:46.420938,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,125.00,2,25,25,125,62.5
114,2006052,2016-05-17 22:14:40.962475,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
115,2006096,2016-05-18 12:18:10.447834,przepelniony,brak powodu,> 4h,77C59E4D,en,bezposredni,,PL,wyplacony,prywatny,fb / twitter,600.00,520.00,1,25,25,80,80
116,2006345,2016-05-23 07:42:00.683962,opozniony,brak powodu,> 3h,28A4CCEC,en,bezposredni,,GB,wyplacony,,,1200.00,600.00,2,25,25,600,300
117,29393,2014-12-29 15:17:48.556755,opozniony,brak powodu,> 3h,28A4CCEC,en,bezposredni,,GB,wyplacony,,,1200.00,600.00,2,25,25,600,300
118,2004805,2016-04-20 07:22:38.931009,przepelniony,brak powodu,> 3h,9DC94883,en,bezposredni,,PL,wyplacony,biznesowy,przyjaciele,1200.00,600.00,2,25,25,600,300
119,2006466,2016-05-25 07:16:15.409648,opozniony,brak powodu,nie dotarlem na miejsce,DD71B83A,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400,400
120,2006467,2016-05-25 07:18:36.789775,opozniony,brak powodu,nie dotarlem na miejsce,DD71B83A,en,bezposredni,,PL,wyplacony,,,600.00,400.00,1,25,25,200,200
121,2011016,2016-08-22 11:12:39.582764,anulowany,strajk,nie dotarlem na miejsce,B6584E0C,en,bezposredni,,PL,wyplacony,,,600.00,200.00,1,25,25,400,400
122,2011097,2016-08-23 09:16:53.115884,opozniony,brak powodu,nie dotarlem na miejsce,C47385E6,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300,300
123,2011152,2016-08-23 12:30:37.028415,opozniony,brak powodu,> 3h,D0578F2F,en,bezposredni,,PL,wyplacony,,,600.00,400.00,1,25,25,200,200
124,2010652,2016-08-16 09:27:32.687958,opozniony,brak powodu,nie dotarlem na miejsce,73DC8ABC,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300,300
125,2000948,2016-01-21 09:19:01.308205,opozniony,pogoda,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,50.00,1,25,25,200,200
126,2009990,2016-08-03 22:03:57.337611,opozniony,pogoda,nie dotarlem na miejsce,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,100.00,1,25,25,150,150
127,2008526,2016-07-06 22:06:33.712368,anulowany,pogoda,> 4h,DBB121C8,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
128,2010053,2016-08-04 12:18:19.805614,przepelniony,brak powodu,> 3h,8025D068,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300,300
129,2010052,2016-08-04 12:05:42.173028,przepelniony,brak powodu,> 3h,8025D068,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300,300
130,2012360,2016-09-09 09:19:29.969960,opozniony,brak powodu,nie dotarlem na miejsce,66805C9F,en,bezposredni,,PL,wyplacony,,,600.00,300.00,1,25,25,300,300
131,2007872,2016-06-28 14:00:11.624584,opozniony,brak powodu,> 3h,18A5800C,en,bezposredni,,PL,wyplacony,prywatny,przyjaciele,600.00,0.00,1,25,25,600,600
132,2037156,2016-10-05 13:03:34.844827,opozniony,strajk,> 3h,A6EF83C8,en,bezposredni,,PL,wyplacony,,,1200.00,1199.50,4,25,25,0.5,0.125
133,2037161,2016-10-05 13:46:17.984310,opozniony,pogoda,> 3h,7E2AA444,en,bezposredni,,PL,wyplacony,,,2250.00,1500.00,9,25,25,750,83.3333333333333333
134,2037163,2016-10-05 14:27:15.980258,opozniony,brak powodu,> 3h,C3A29098,en,bezposredni,,PL,wyplacony,,,500.00,479.00,2,25,25,21,10.5
135,2037165,2016-10-05 14:31:26.656529,opozniony,brak powodu,> 3h,C3A29098,en,bezposredni,,PL,wyplacony,,,500.00,1.00,2,25,25,499,249.5
136,2037263,2016-10-06 10:13:50.718160,opozniony,strajk,> 3h,7E5BF543,en,bezposredni,,PL,wyplacony,,,300.00,1.00,1,25,25,299,299
137,2037264,2016-10-06 10:25:51.242294,opozniony,strajk,> 3h,E1F94920,en,bezposredni,,PL,wyplacony,,,250.00,231.30,1,25,25,18.7,18.7
138,2013797,2016-09-23 11:43:44.454250,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
139,2037309,2016-10-06 14:15:41.776448,opozniony,strajk,> 3h,E4F4EDD1,en,bezposredni,,PL,wyplacony,,,600.00,599.99,1,25,25,0.01,0.01
140,2004843,2016-04-20 22:18:43.103931,przepelniony,brak powodu,> 3h,4BC8C532,en,bezposredni,,IE,wyplacony,,,250.00,200.00,1,25,25,50,50
141,2005194,2016-05-01 22:14:35.295451,opozniony,brak powodu,> 3h,5E4EF1B4,en,posredni,tui,IE,wyplacony,,,400.00,300.00,1,35,15,100,100
142,2104784,2017-08-25 08:13:40.570951,opozniony,pogoda,> 4h,7D2E885D,en,bezposredni,,ZZ,wyplacony,,,1200.00,500.00,2,25,25,700,350
143,2101130,2017-08-10 14:05:18.899756,anulowany,brak powodu,> 2h,4BC8C532,en,bezposredni,,IE,wyplacony,,,200.00,100.00,1,25,25,100,100
144,2097203,2017-07-31 13:16:08.678603,opozniony,pogoda,> 3h,E1FE73E6,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
145,2097146,2017-07-31 13:07:29.299105,opozniony,pogoda,> 3h,F7C1F971,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
146,2054735,2017-02-17 05:57:15.981561,opozniony,pogoda,> 3h,76A392AF,en,bezposredni,,IE,wyplacony,,,500.00,250.00,2,25,25,250,125
147,2097269,2017-07-31 13:59:44.948392,opozniony,pogoda,> 3h,664D6E51,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
148,2097417,2017-08-01 07:07:07.618754,opozniony,pogoda,> 4h,8561B845,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150,150
149,2097415,2017-08-01 07:07:00.033449,opozniony,pogoda,> 4h,0E6593EC,en,bezposredni,,ZZ,wyplacony,,,250.00,100.00,1,25,25,150,150
150,2101190,2017-08-11 06:46:43.251440,opozniony,brak powodu,> 3h,1B0DF4DF,en,bezposredni,,PL,wyplacony,,,1800.00,600.00,3,25,25,1200,400
151,2104793,2017-08-25 08:49:31.821088,opozniony,pogoda,> 3h,D6529781,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
152,2101170,2017-08-11 05:11:48.158518,opozniony,pogoda,> 3h,06E8CE73,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
153,2004032,2016-03-24 10:15:32.520871,opozniony,brak powodu,nie dotarlem na miejsce,3859D323,en,bezposredni,,PL,wyplacony,,,600.00,400.00,1,25,25,200,200
154,2097438,2017-08-01 07:30:24.835455,opozniony,pogoda,> 3h,8717F0E7,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
155,2110658,2017-09-14 09:37:20.063281,opozniony,pogoda,> 3h,D49A0BB9,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
156,2053648,2017-02-10 08:05:49.406015,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250,125
157,2053792,2017-02-10 11:44:35.074529,opozniony,pogoda,> 3h,030C2E7A,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250,125
158,2094058,2017-07-24 08:05:50.115130,opozniony,pogoda,> 3h,600D3628,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
159,2092124,2017-07-18 10:23:19.475003,opozniony,pogoda,> 3h,5526216B,en,bezposredni,,ZZ,wyplacony,,,250.00,125.00,1,25,25,125,125
160,2050739,2017-01-25 12:04:32.126799,opozniony,pogoda,> 3h,DBB121C8,en,bezposredni,,US,wyplacony,,,500.00,250.00,2,25,25,250,125
